iteration,source,type,target
0,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Formatter
0,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Formatter
0,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.linalg.Property
1,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Formatter
1,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Formatter
1,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Sorting
1,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.linalg.Property
1,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.linalg.Property
2,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Formatter
2,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Formatter
2,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.linalg.Property
2,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.linalg.Property
2,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Sorting
2,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.ObjectFactory2D
2,hep.aida.bin.QuantileBin1D,uses,hep.aida.ref.Converter
2,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Sorting
2,cern.colt.matrix.DoubleFactory2D,uses,cern.colt.matrix.impl.RCDoubleMatrix2D
2,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.ObjectMatrix2D
2,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.objectalgo.Formatter
3,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Sorting
3,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Formatter
3,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.linalg.Property
3,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Formatter
3,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Sorting
3,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.linalg.Property
3,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.ObjectFactory2D
3,cern.colt.matrix.ObjectMatrix2D,uses,cern.colt.matrix.objectalgo.Sorting
3,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.impl.DenseDoubleMatrix2D
3,hep.aida.bin.QuantileBin1D,uses,hep.aida.ref.Converter
3,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.ObjectMatrix2D
3,cern.colt.matrix.DoubleFactory2D,uses,cern.colt.matrix.impl.RCDoubleMatrix2D
3,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.objectalgo.Formatter
3,cern.colt.matrix.doublealgo.Sorting,uses,hep.aida.bin.BinFunction1D
3,cern.colt.matrix.DoubleMatrix3D,uses,cern.colt.matrix.doublealgo.Formatter
3,cern.colt.matrix.doublealgo.Sorting,uses,cern.colt.matrix.DoubleFactory3D
4,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Formatter
4,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Formatter
4,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.linalg.Property
4,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Sorting
4,cern.colt.matrix.doublealgo.Formatter,uses,cern.colt.matrix.ObjectFactory2D
5,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Sorting
5,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.doublealgo.Formatter
5,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Sorting
5,cern.colt.matrix.DoubleMatrix2D,uses,cern.colt.matrix.doublealgo.Formatter
5,cern.colt.matrix.DoubleMatrix3D,uses,cern.colt.matrix.linalg.Property
5,cern.colt.matrix.DoubleMatrix1D,uses,cern.colt.matrix.linalg.Property
5,cern.colt.matrix.DoubleMatrix3D,uses,cern.colt.matrix.doublealgo.Sorting
