iteration,source,type,target
0,org.displaytag.model.TableModel,uses,org.displaytag.properties.TableProperties
0,org.displaytag.properties.TableProperties,uses,org.displaytag.decorator.DefaultDecoratorFactory
0,org.displaytag.decorator.TableDecorator,uses,org.displaytag.model.TableModel
0,org.displaytag.properties.TableProperties,uses,org.displaytag.decorator.DecoratorFactory
0,org.displaytag.decorator.Decorator,uses,org.displaytag.model.TableModel
0,org.displaytag.model.TableModel,uses,org.displaytag.decorator.TableDecorator
0,org.displaytag.model.Column,uses,org.displaytag.decorator.TableDecorator
0,org.displaytag.model.Row,uses,org.displaytag.decorator.TableDecorator
0,org.displaytag.model.RowIterator,uses,org.displaytag.decorator.TableDecorator
0,org.displaytag.model.RowSorter,uses,org.displaytag.decorator.TableDecorator
0,org.displaytag.model.HeaderCell,uses,org.displaytag.decorator.DisplaytagColumnDecorator
0,org.displaytag.model.Column,uses,org.displaytag.decorator.DisplaytagColumnDecorator
0,org.displaytag.decorator.MultilevelTotalTableDecorator,uses,org.displaytag.model.TableModel
0,org.displaytag.decorator.TotalTableDecorator,uses,org.displaytag.model.TableModel
0,org.displaytag.properties.TableProperties,uses,org.displaytag.util.DefaultRequestHelperFactory
0,org.displaytag.model.Row,uses,org.displaytag.properties.TableProperties
0,org.displaytag.decorator.MultilevelTotalTableDecorator,uses,org.displaytag.model.Column
0,org.displaytag.decorator.CheckboxTableDecorator,uses,org.displaytag.model.TableModel
