iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,at.bestsolution.drawswf.drawobjects.DrawObject,uses,at.bestsolution.drawswf.MainWindow,239,0,0,0,9,0,0,14340
2,at.bestsolution.drawswf.menu.DrawMovieMenu,uses,at.bestsolution.drawswf.MainWindow,76,0,14,0,23,0,0,13691
3,at.bestsolution.drawswf.dialog.OptionsDialog,uses,at.bestsolution.drawswf.MainWindow,63,0,0,0,67,0,0,35529
4,at.bestsolution.drawswf.menu.DrawHelpMenu,uses,at.bestsolution.drawswf.MainWindow,75,0,14,0,24,0,0,3460
5,at.bestsolution.drawswf.toolbar.DrawMovieToolbar,uses,at.bestsolution.drawswf.MainWindow,75,0,14,0,25,0,0,3768
6,at.bestsolution.drawswf.actions.SetCanvasSizeAction,uses,at.bestsolution.drawswf.MainWindow,60,0,0,0,70,0,0,5249
7,at.bestsolution.drawswf.actions.NewFileAction,uses,at.bestsolution.drawswf.MainWindow,60,0,0,0,66,0,0,11287
8,at.bestsolution.drawswf.menu.DrawEditMenu,uses,at.bestsolution.drawswf.MainWindow,73,0,12,0,28,0,0,3630
9,at.bestsolution.drawswf.toolbar.DrawEditToolbar,uses,at.bestsolution.drawswf.MainWindow,72,0,12,0,30,0,0,4357
10,at.bestsolution.drawswf.actions.SaveSWFAction,uses,at.bestsolution.drawswf.MainWindow,60,0,0,0,69,0,0,5211
11,at.bestsolution.drawswf.toolbar.DrawFileToolbar,uses,at.bestsolution.drawswf.MainWindow,65,0,11,0,37,0,0,4452
12,at.bestsolution.drawswf.toolbar.DrawToolsToolbar,uses,at.bestsolution.drawswf.MainWindow,61,0,12,0,38,0,0,5310
13,at.bestsolution.drawswf.menu.DrawToolsMenu,uses,at.bestsolution.drawswf.MainWindow,58,0,11,0,54,0,0,3643
14,at.bestsolution.drawswf.menu.DrawFileMenu,uses,at.bestsolution.drawswf.MainWindow,60,0,9,0,54,0,0,3552
15,org.apache.batik.ext.awt.image.rendered.BufferedImageCachableRed,uses,org.apache.batik.ext.awt.image.GraphicsUtil,27,0,7,0,102,0,0,17926
16,org.apache.batik.ext.awt.image.rendered.AbstractRed,uses,org.apache.batik.ext.awt.image.GraphicsUtil,33,7,0,0,92,0,0,5408
17,at.bestsolution.util.BestsolutionConfigurationEditor,uses,at.bestsolution.drawswf.MainWindow,29,0,2,0,107,0,0,5572
18,at.bestsolution.drawswf.drawobjects.Picture,uses,at.bestsolution.drawswf.MainWindow,25,0,0,0,112,0,0,8371
19,at.bestsolution.drawswf.drawobjects.Text,uses,at.bestsolution.drawswf.MainWindow,25,0,0,0,116,0,0,5723
20,org.apache.batik.ext.awt.image.rendered.Any2sRGBRed,uses,org.apache.batik.ext.awt.image.GraphicsUtil,17,0,7,0,117,0,0,5524
21,org.apache.batik.ext.awt.image.rendered.AffineRed,uses,org.apache.batik.ext.awt.image.GraphicsUtil,15,0,7,0,123,0,0,10714
22,org.apache.batik.ext.awt.image.rendered.AbstractTiledRed,uses,org.apache.batik.ext.awt.image.GraphicsUtil,15,0,14,0,108,0,0,3915
