iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,net.sf.freecol.common.Specification,uses,net.sf.freecol.FreeCol,229938,1,400,0,2,0,0,12650152
2,net.sf.freecol.common.model.Goods,uses,net.sf.freecol.FreeCol,186397,0,80,0,3,0,0,110689
3,net.sf.freecol.util.test.FreeColTestCase,uses,net.sf.freecol.FreeCol,85758,0,2,0,9,0,0,153361
4,net.sf.freecol.common.model.Tile,uses,net.sf.freecol.FreeCol,85897,0,314,0,9,0,0,99679
5,net.sf.freecol.common.model.Unit,uses,net.sf.freecol.FreeCol,93881,12,314,0,9,0,0,102329
6,net.sf.freecol.common.model.Player,uses,net.sf.freecol.FreeCol,82191,60,187,0,10,0,0,93000
7,net.sf.freecol.common.model.Game,uses,net.sf.freecol.FreeCol,56688,1,79,0,13,0,0,90521
8,net.sf.freecol.common.model.Settlement,uses,net.sf.freecol.FreeCol,38697,0,143,0,17,0,0,103365
9,net.sf.freecol.common.model.Colony,uses,net.sf.freecol.FreeCol,40877,0,98,0,18,0,0,90785
10,net.sf.freecol.common.model.ModelMessage,uses,net.sf.freecol.FreeCol,45962,3,119,0,16,0,0,89887
