iteration,source,type,target
0,net.sf.freecol.FreeCol,uses,net.sf.freecol.client.FreeColClient
1,net.sf.freecol.FreeCol,uses,net.sf.freecol.client.FreeColClient
1,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.Canvas
1,net.sf.freecol.FreeCol,uses,net.sf.freecol.server.FreeColServer
1,net.sf.freecol.common.option.LanguageOption,uses,net.sf.freecol.FreeCol
1,net.sf.freecol.common.Specification,uses,net.sf.freecol.common.option.LanguageOption
1,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.action.ActionManager
1,net.sf.freecol.client.gui.i18n.Messages,uses,net.sf.freecol.FreeCol
1,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.control.InGameController
1,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.GUI
1,net.sf.freecol.client.gui.GUI,uses,net.sf.freecol.server.ai.AIUnit
2,net.sf.freecol.FreeCol,uses,net.sf.freecol.client.FreeColClient
2,net.sf.freecol.common.option.LanguageOption,uses,net.sf.freecol.FreeCol
2,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.Canvas
2,net.sf.freecol.common.Specification,uses,net.sf.freecol.common.option.LanguageOption
2,net.sf.freecol.FreeCol,uses,net.sf.freecol.server.FreeColServer
2,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.action.ActionManager
2,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.control.InGameController
2,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.GUI
2,net.sf.freecol.client.gui.i18n.Messages,uses,net.sf.freecol.FreeCol
2,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.control.MapEditorController
2,net.sf.freecol.client.gui.GUI,uses,net.sf.freecol.server.ai.AIUnit
2,net.sf.freecol.server.FreeColServer,uses,net.sf.freecol.server.ai.AIMain
2,net.sf.freecol.client.gui.Canvas,uses,net.sf.freecol.client.gui.panel.ColonyPanel
3,net.sf.freecol.FreeCol,uses,net.sf.freecol.client.FreeColClient
4,net.sf.freecol.FreeCol,uses,net.sf.freecol.client.FreeColClient
4,net.sf.freecol.FreeCol,uses,net.sf.freecol.server.FreeColServer
4,net.sf.freecol.common.option.LanguageOption,uses,net.sf.freecol.FreeCol
4,net.sf.freecol.common.Specification,uses,net.sf.freecol.common.option.LanguageOption
4,net.sf.freecol.server.FreeColServer,uses,net.sf.freecol.server.ai.AIMain
4,net.sf.freecol.client.FreeColClient,uses,net.sf.freecol.client.gui.Canvas
