counter,instances,instances(%),weakerInstances,weakerInstances(%)
0,1385,100.0,72,100.0
1,12680,915.53,132,183.34
2,12680,915.53,132,183.34
3,12732,919.28,132,183.34
4,12817,925.42,132,183.34
5,12817,925.42,132,183.34
6,12856,928.24,132,183.34
7,12886,930.4,132,183.34
8,12916,932.57,132,183.34
9,12955,935.38,132,183.34
10,13040,941.52,132,183.34
11,12949,934.95,132,183.34
12,12741,919.93,132,183.34
13,12756,921.02,132,183.34
14,12839,927.01,132,183.34
15,12891,930.76,132,183.34
16,12974,936.76,132,183.34
17,13057,942.75,132,183.34
18,13140,948.74,132,183.34
19,13192,952.5,132,183.34
20,13244,956.25,132,183.34
21,13331,962.53,132,183.34
22,13217,954.3,132,183.34
