iteration,source,type,target
0,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine,uses,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration
0,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine
0,com.gargoylesoftware.htmlunit.WebAssert,uses,com.gargoylesoftware.htmlunit.html.HtmlPage
0,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLDocument
0,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.Node
0,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.Window
0,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLSpanElement
0,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement
0,com.gargoylesoftware.htmlunit.html.HtmlPage,uses,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine
1,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLDocument
1,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine,uses,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration
1,com.gargoylesoftware.htmlunit.html.DomNode,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement
1,com.gargoylesoftware.htmlunit.javascript.SimpleScriptable,uses,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration
1,com.gargoylesoftware.htmlunit.html.DomNode,uses,com.gargoylesoftware.htmlunit.javascript.SimpleScriptable
1,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine
1,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.Window
1,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement,uses,com.gargoylesoftware.htmlunit.html.HTMLParser
1,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLSpanElement
1,com.gargoylesoftware.htmlunit.html.HtmlElement,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement
1,com.gargoylesoftware.htmlunit.WebAssert,uses,com.gargoylesoftware.htmlunit.html.HtmlPage
1,com.gargoylesoftware.htmlunit.html.HtmlObject,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLObjectElement
1,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.Node
2,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine,uses,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration
2,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.Window
2,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine
2,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement
2,com.gargoylesoftware.htmlunit.html.HtmlPage,uses,com.gargoylesoftware.htmlunit.javascript.host.Window
2,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLDocument
2,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement,uses,com.gargoylesoftware.htmlunit.html.HTMLParser
2,com.gargoylesoftware.htmlunit.WebAssert,uses,com.gargoylesoftware.htmlunit.html.HtmlPage
2,com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLSpanElement
2,com.gargoylesoftware.htmlunit.WebClient,uses,com.gargoylesoftware.htmlunit.javascript.host.Node
2,com.gargoylesoftware.htmlunit.html.HtmlObject,uses,com.gargoylesoftware.htmlunit.javascript.host.html.HTMLObjectElement
2,com.gargoylesoftware.htmlunit.html.HtmlPage,uses,com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine
