iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,com.itextpdf.text.error_messages.MessageLocalization,uses,com.itextpdf.text.pdf.BaseFont,36404,28,80,0,0,0,0,15494
2,com.itextpdf.text.pdf.PdfContentByte,uses,com.itextpdf.text.pdf.internal.PdfAnnotationsImp,1629,0,0,0,22,0,0,52451
3,com.itextpdf.text.Utilities,uses,com.itextpdf.text.pdf.PRTokeniser,1438,0,0,0,22,0,0,13587
4,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.JBIG2Image,1081,0,0,0,28,0,0,21516
5,com.itextpdf.text.pdf.PdfContentByte,uses,com.itextpdf.text.pdf.internal.PdfXConformanceImp,1350,0,0,0,26,0,0,15256
6,com.itextpdf.text.pdf.internal.PdfVersionImp,uses,com.itextpdf.text.pdf.PdfWriter,760,0,46,0,37,0,0,26086
7,com.itextpdf.text.pdf.collection.PdfTargetDictionary,uses,com.itextpdf.text.pdf.PdfObject,456,0,103,0,49,0,0,29528
8,com.itextpdf.text.pdf.codec.PngImage,uses,com.itextpdf.text.pdf.PdfReader,513,0,44,0,51,0,0,17581
9,com.itextpdf.text.pdf.PdfReader,uses,com.itextpdf.text.DocWriter,464,1,4,0,74,0,0,52820
10,com.itextpdf.text.pdf.TrueTypeFontUnicode,uses,com.itextpdf.text.Utilities,424,0,0,0,82,0,0,36619
11,com.itextpdf.text.pdf.internal.PdfXConformanceImp,uses,com.itextpdf.text.pdf.PdfGState,303,1,64,0,93,0,0,39234
12,com.itextpdf.text.pdf.FontDetails,uses,com.itextpdf.text.Utilities,427,0,0,0,79,0,0,12751
13,com.itextpdf.text.pdf.internal.PdfAnnotationsImp,uses,com.itextpdf.text.pdf.PdfObject,302,0,56,0,98,0,0,17795
