iteration,source,type,target
1,com.itextpdf.text.error_messages.MessageLocalization,uses,com.itextpdf.text.pdf.BaseFont
1,com.itextpdf.text.BaseColor,uses,com.itextpdf.text.error_messages.MessageLocalization
1,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.Image
1,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.internal.PdfXConformanceImp
1,com.itextpdf.text.pdf.PdfFileSpecification,uses,com.itextpdf.text.pdf.collection.PdfCollectionItem
1,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.collection.PdfCollection
1,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.PngImage
1,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.TiffImage
1,com.itextpdf.text.pdf.PdfDocument,uses,com.itextpdf.text.pdf.internal.PdfAnnotationsImp
1,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.PdfContentByte
1,com.itextpdf.text.Chunk,uses,com.itextpdf.text.pdf.PdfAction
1,com.itextpdf.text.Document,uses,com.itextpdf.text.error_messages.MessageLocalization
1,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.GifImage
1,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.BmpImage
1,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.internal.PdfVersionImp
1,com.itextpdf.text.pdf.PdfReader,uses,com.itextpdf.text.pdf.internal.PdfViewerPreferencesImp
1,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.PdfWriter
1,com.itextpdf.text.ImgWMF,uses,com.itextpdf.text.pdf.codec.wmf.MetaDo
1,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.ImgWMF
1,com.itextpdf.text.pdf.PdfAction,uses,com.itextpdf.text.pdf.collection.PdfTargetDictionary
1,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.xml.xmp.XmpWriter
1,com.itextpdf.text.Phrase,uses,com.itextpdf.text.pdf.BaseFont
2,com.itextpdf.text.error_messages.MessageLocalization,uses,com.itextpdf.text.pdf.BaseFont
2,com.itextpdf.text.BaseColor,uses,com.itextpdf.text.error_messages.MessageLocalization
2,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.Image
2,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.internal.PdfXConformanceImp
2,com.itextpdf.text.pdf.PdfFileSpecification,uses,com.itextpdf.text.pdf.collection.PdfCollectionItem
2,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.PdfWriter
2,com.itextpdf.text.pdf.PdfDocument,uses,com.itextpdf.text.pdf.internal.PdfAnnotationsImp
2,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.collection.PdfCollection
2,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.PngImage
2,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.TiffImage
2,com.itextpdf.text.Document,uses,com.itextpdf.text.error_messages.MessageLocalization
2,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.GifImage
2,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.codec.BmpImage
2,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.internal.PdfVersionImp
2,com.itextpdf.text.pdf.PdfReader,uses,com.itextpdf.text.pdf.internal.PdfViewerPreferencesImp
2,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.ImgWMF
2,com.itextpdf.text.ImgWMF,uses,com.itextpdf.text.pdf.codec.wmf.MetaDo
2,com.itextpdf.text.Font,uses,com.itextpdf.text.pdf.BaseFont
2,com.itextpdf.text.pdf.PdfAction,uses,com.itextpdf.text.pdf.collection.PdfTargetDictionary
2,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.xml.xmp.XmpWriter
2,com.itextpdf.text.Phrase,uses,com.itextpdf.text.pdf.BaseFont
2,com.itextpdf.text.Chunk,uses,com.itextpdf.text.pdf.BaseFont
3,com.itextpdf.text.error_messages.MessageLocalization,uses,com.itextpdf.text.pdf.BaseFont
3,com.itextpdf.text.BaseColor,uses,com.itextpdf.text.error_messages.MessageLocalization
3,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.Image
3,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.internal.PdfXConformanceImp
3,com.itextpdf.text.pdf.PdfFileSpecification,uses,com.itextpdf.text.pdf.collection.PdfCollectionItem
3,com.itextpdf.text.Image,uses,com.itextpdf.text.pdf.PdfWriter
3,com.itextpdf.text.pdf.PdfDocument,uses,com.itextpdf.text.pdf.internal.PdfAnnotationsImp
3,com.itextpdf.text.pdf.PdfWriter,uses,com.itextpdf.text.pdf.collection.PdfCollection
