iteration,source,type,target
0,com.hp.hpl.jena.shared.PrefixMapping,uses,com.hp.hpl.jena.vocabulary.VCARD
0,com.hp.hpl.jena.vocabulary.VCARD,uses,com.hp.hpl.jena.rdf.model.ModelFactory
0,com.hp.hpl.jena.rdf.model.impl.ModelCom,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
0,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.rdf.model.impl.ModelCom
0,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.assembler.Assembler
0,com.hp.hpl.jena.graph.Node,uses,com.hp.hpl.jena.shared.PrefixMapping
0,com.hp.hpl.jena.graph.Graph,uses,com.hp.hpl.jena.shared.PrefixMapping
1,com.hp.hpl.jena.shared.PrefixMapping,uses,com.hp.hpl.jena.vocabulary.DC_11
1,com.hp.hpl.jena.vocabulary.DC_11,uses,com.hp.hpl.jena.rdf.model.ModelFactory
1,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.ontology.OntModelSpec
1,com.hp.hpl.jena.rdf.model.impl.ModelCom,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
1,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.rdf.model.impl.ModelCom
1,com.hp.hpl.jena.graph.Graph,uses,com.hp.hpl.jena.shared.PrefixMapping
1,com.hp.hpl.jena.graph.Node,uses,com.hp.hpl.jena.shared.PrefixMapping
1,com.hp.hpl.jena.ontology.OntModelSpec,uses,com.hp.hpl.jena.reasoner.rulesys.OWLMicroReasonerFactory
1,com.hp.hpl.jena.graph.Triple,uses,com.hp.hpl.jena.shared.PrefixMapping
1,com.hp.hpl.jena.ontology.OntModelSpec,uses,com.hp.hpl.jena.reasoner.rulesys.RDFSRuleReasonerFactory
1,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.assembler.Assembler
1,com.hp.hpl.jena.ontology.OntModelSpec,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
1,com.hp.hpl.jena.ontology.impl.OntModelImpl,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
1,com.hp.hpl.jena.rdf.model.ResourceFactory$Impl,uses,com.hp.hpl.jena.rdf.model.impl.StatementImpl
1,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
1,com.hp.hpl.jena.rdf.model.impl.StatementImpl,uses,com.hp.hpl.jena.rdf.model.ModelFactory
1,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.DAML_OILProfile
1,com.hp.hpl.jena.vocabulary.RDF,uses,com.hp.hpl.jena.rdf.model.ResourceFactory
1,com.hp.hpl.jena.graph.Factory,uses,com.hp.hpl.jena.mem.faster.GraphMemFaster
1,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.OWLProfile
1,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.OWLDLProfile
2,com.hp.hpl.jena.shared.PrefixMapping,uses,com.hp.hpl.jena.vocabulary.VCARD
2,com.hp.hpl.jena.vocabulary.VCARD,uses,com.hp.hpl.jena.rdf.model.ModelFactory
2,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
2,com.hp.hpl.jena.ontology.impl.OntModelImpl,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
2,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.assembler.Assembler
2,com.hp.hpl.jena.graph.Graph,uses,com.hp.hpl.jena.shared.PrefixMapping
2,com.hp.hpl.jena.graph.Node,uses,com.hp.hpl.jena.shared.PrefixMapping
3,com.hp.hpl.jena.shared.PrefixMapping,uses,com.hp.hpl.jena.vocabulary.DC_11
3,com.hp.hpl.jena.vocabulary.DC_11,uses,com.hp.hpl.jena.rdf.model.ModelFactory
3,com.hp.hpl.jena.ontology.impl.OntModelImpl,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
3,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.ontology.OntModelSpec
3,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
3,com.hp.hpl.jena.graph.Node,uses,com.hp.hpl.jena.shared.PrefixMapping
3,com.hp.hpl.jena.ontology.OntModelSpec,uses,com.hp.hpl.jena.reasoner.rulesys.OWLMiniReasonerFactory
3,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.reasoner.rulesys.RDFSRuleReasonerFactory
3,com.hp.hpl.jena.graph.Triple,uses,com.hp.hpl.jena.shared.PrefixMapping
3,com.hp.hpl.jena.graph.Graph,uses,com.hp.hpl.jena.shared.PrefixMapping
3,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.assembler.Assembler
3,com.hp.hpl.jena.ontology.OntModelSpec,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
3,com.hp.hpl.jena.vocabulary.RDF,uses,com.hp.hpl.jena.rdf.model.ResourceFactory
3,com.hp.hpl.jena.rdf.model.ResourceFactory$Impl,uses,com.hp.hpl.jena.rdf.model.impl.StatementImpl
3,com.hp.hpl.jena.rdf.model.impl.ModelCom,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
3,com.hp.hpl.jena.rdf.model.impl.StatementImpl,uses,com.hp.hpl.jena.rdf.model.ModelFactory
3,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.mem.faster.GraphMemFaster
3,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.DAML_OILProfile
3,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.OWLProfile
3,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.OWLDLProfile
3,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.OWLLiteProfile
3,com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph,uses,com.hp.hpl.jena.reasoner.rulesys.impl.RETEEngine
3,com.hp.hpl.jena.reasoner.TriplePattern,uses,com.hp.hpl.jena.reasoner.rulesys.Functor
3,com.hp.hpl.jena.rdf.model.ModelFactory$ModelRDBMaker,uses,com.hp.hpl.jena.db.GraphRDB
3,com.hp.hpl.jena.rdf.model.ResourceFactory$Impl,uses,com.hp.hpl.jena.rdf.model.impl.ModelCom
3,com.hp.hpl.jena.vocabulary.OWL,uses,com.hp.hpl.jena.rdf.model.ModelFactory
3,com.hp.hpl.jena.reasoner.Reasoner,uses,com.hp.hpl.jena.rdf.model.Model
3,com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph,uses,com.hp.hpl.jena.reasoner.rulesys.impl.LPBRuleEngine
3,com.hp.hpl.jena.rdf.model.impl.ModelCom,uses,com.hp.hpl.jena.rdf.model.ModelFactory
3,com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph,uses,com.hp.hpl.jena.reasoner.rulesys.impl.FRuleEngine
3,com.hp.hpl.jena.enhanced.BuiltinPersonalities,uses,com.hp.hpl.jena.ontology.impl.OntResourceImpl
4,com.hp.hpl.jena.shared.PrefixMapping,uses,com.hp.hpl.jena.assembler.JA
4,com.hp.hpl.jena.assembler.JA,uses,com.hp.hpl.jena.rdf.model.ModelFactory
4,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
4,com.hp.hpl.jena.ontology.impl.OntModelImpl,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
4,com.hp.hpl.jena.graph.Node,uses,com.hp.hpl.jena.shared.PrefixMapping
4,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.reasoner.rulesys.RDFSRuleReasonerFactory
4,com.hp.hpl.jena.ontology.impl.OntModelImpl,uses,com.hp.hpl.jena.ontology.ProfileRegistry
4,com.hp.hpl.jena.graph.Graph,uses,com.hp.hpl.jena.shared.PrefixMapping
4,com.hp.hpl.jena.graph.Triple,uses,com.hp.hpl.jena.shared.PrefixMapping
4,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.assembler.Assembler
4,com.hp.hpl.jena.ontology.OntModelSpec,uses,com.hp.hpl.jena.ontology.impl.OntModelImpl
4,com.hp.hpl.jena.rdf.model.impl.ModelCom,uses,com.hp.hpl.jena.enhanced.BuiltinPersonalities
4,com.hp.hpl.jena.rdf.model.ResourceFactory$Impl,uses,com.hp.hpl.jena.rdf.model.impl.StatementImpl
4,com.hp.hpl.jena.rdf.model.impl.StatementImpl,uses,com.hp.hpl.jena.rdf.model.ModelFactory
4,com.hp.hpl.jena.vocabulary.RDF,uses,com.hp.hpl.jena.rdf.model.ResourceFactory
4,com.hp.hpl.jena.ontology.ProfileRegistry,uses,com.hp.hpl.jena.ontology.impl.DAML_OILProfile
4,com.hp.hpl.jena.rdf.model.ModelFactory,uses,com.hp.hpl.jena.mem.faster.GraphMemFaster
