iteration,source,type,target
0,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.TabbedView
0,net.sourceforge.jsxe.DocumentBuffer,uses,net.sourceforge.jsxe.gui.TabbedView
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ToolsPluginManagerAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ValidationErrorsAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ToolsOptionsAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileReloadAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ActivityLogAction
0,net.sourceforge.jsxe.gui.DocumentView,uses,net.sourceforge.jsxe.DocumentBuffer
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileCloseAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileNewAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileSaveAsAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileCloseAllAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileExitAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileOpenAction
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileSaveAction
0,net.sourceforge.jsxe.gui.EnhancedDialog,uses,net.sourceforge.jsxe.jsXe
0,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.OpenRecentFileAction
0,net.sourceforge.jsxe.action.ToolsPluginManagerAction,uses,net.sourceforge.jsxe.gui.PluginManagerDialog
0,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.DirtyFilesDialog
0,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.ErrorListDialog
1,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.TabbedView
1,net.sourceforge.jsxe.DocumentBuffer,uses,net.sourceforge.jsxe.gui.TabbedView
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ToolsPluginManagerAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ValidationErrorsAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ToolsOptionsAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileReloadAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ActivityLogAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileCloseAction
1,net.sourceforge.jsxe.gui.DocumentView,uses,net.sourceforge.jsxe.DocumentBuffer
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileNewAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileOpenAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileExitAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileSaveAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileCloseAllAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileSaveAsAction
1,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.OpenRecentFileAction
1,net.sourceforge.jsxe.gui.EnhancedDialog,uses,net.sourceforge.jsxe.jsXe
1,net.sourceforge.jsxe.action.ToolsPluginManagerAction,uses,net.sourceforge.jsxe.gui.PluginManagerDialog
1,net.sourceforge.jsxe.action.ToolsOptionsAction,uses,net.sourceforge.jsxe.gui.GlobalOptionsDialog
1,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.DirtyFilesDialog
1,net.sourceforge.jsxe.dom.XMLDocument,uses,net.sourceforge.jsxe.jsXe
1,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.ErrorListDialog
2,net.sourceforge.jsxe.jsXe,uses,net.sourceforge.jsxe.gui.TabbedView
2,net.sourceforge.jsxe.DocumentBuffer,uses,net.sourceforge.jsxe.gui.TabbedView
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ToolsPluginManagerAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ValidationErrorsAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ToolsOptionsAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileReloadAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.ActivityLogAction
2,net.sourceforge.jsxe.gui.DocumentView,uses,net.sourceforge.jsxe.DocumentBuffer
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileCloseAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileExitAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileNewAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileCloseAllAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileSaveAsAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileSaveAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.FileOpenAction
2,net.sourceforge.jsxe.gui.EnhancedDialog,uses,net.sourceforge.jsxe.jsXe
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.action.OpenRecentFileAction
2,net.sourceforge.jsxe.gui.TabbedView,uses,net.sourceforge.jsxe.jsXe
2,net.sourceforge.jsxe.action.ToolsPluginManagerAction,uses,net.sourceforge.jsxe.gui.PluginManagerDialog
