iteration,source,type,target
0,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.search.SearchManager
0,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.ui.admin.AdminBeanManager
0,com.ecyrd.jspwiki.workflow.WorkflowManager,uses,com.ecyrd.jspwiki.WikiEngine
0,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.rss.RSSGenerator
0,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.AuthenticationManager
0,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.UserManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.search.SearchManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.ui.admin.AdminBeanManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.render.RenderingManager
1,com.ecyrd.jspwiki.workflow.WorkflowManager,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.rss.RSSGenerator
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.UserManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.AuthenticationManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.plugin.PluginManager
1,com.ecyrd.jspwiki.render.RenderingManager,uses,com.ecyrd.jspwiki.parser.JSPWikiMarkupParser
1,com.ecyrd.jspwiki.auth.permissions.PagePermission,uses,com.ecyrd.jspwiki.WikiPage
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.authorize.GroupManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.attachment.AttachmentManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.diff.DifferenceManager
1,com.ecyrd.jspwiki.filters.FilterManager,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.attachment.Attachment,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.content.PageRenamer
1,com.ecyrd.jspwiki.auth.user.UserDatabase,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.acl.DefaultAclManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.ui.CommandResolver
1,com.ecyrd.jspwiki.PageManager,uses,com.ecyrd.jspwiki.providers.CachingProvider
1,com.ecyrd.jspwiki.workflow.WorkflowManager,uses,com.ecyrd.jspwiki.auth.AuthorizationManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.auth.AuthorizationManager
1,com.ecyrd.jspwiki.auth.UserManager,uses,com.ecyrd.jspwiki.filters.SpamFilter
1,com.ecyrd.jspwiki.attachment.AttachmentManager,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.auth.acl.AclManager,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.parser.WikiDocument,uses,com.ecyrd.jspwiki.WikiContext
1,com.ecyrd.jspwiki.parser.MarkupParser,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.ui.TemplateManager,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.util.PageSorter,uses,com.ecyrd.jspwiki.WikiPage
1,com.ecyrd.jspwiki.WikiContext,uses,com.ecyrd.jspwiki.preferences.Preferences
1,com.ecyrd.jspwiki.filters.PageFilter,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.url.URLConstructor,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.ui.PageCommand,uses,com.ecyrd.jspwiki.WikiPage
1,com.ecyrd.jspwiki.i18n.InternationalizationManager,uses,com.ecyrd.jspwiki.WikiEngine
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.ui.EditorManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.filters.FilterManager
1,com.ecyrd.jspwiki.WikiEngine,uses,com.ecyrd.jspwiki.util.WatchDog
1,com.ecyrd.jspwiki.ui.admin.AdminBeanManager,uses,com.ecyrd.jspwiki.ui.admin.beans.SearchManagerBean
1,com.ecyrd.jspwiki.auth.AuthenticationManager,uses,com.ecyrd.jspwiki.WikiEngine
