iteration,source,type,target
0,org.junit.runner.Computer,uses,org.junit.runners.Suite
0,org.junit.runner.Request,uses,org.junit.internal.builders.AllDefaultPossibilitiesBuilder
0,org.junit.runner.Request,uses,org.junit.internal.requests.SortingRequest
0,org.junit.runner.Request,uses,org.junit.internal.requests.ClassRequest
0,org.junit.runner.Request,uses,org.junit.internal.requests.FilterRequest
0,org.junit.runner.JUnitCore,uses,org.junit.internal.runners.JUnit38ClassRunner
0,org.junit.runners.Suite,uses,org.junit.internal.builders.AllDefaultPossibilitiesBuilder
0,org.junit.internal.runners.ErrorReportingRunner,uses,org.junit.runner.notification.RunNotifier
0,org.junit.runners.model.RunnerBuilder,uses,org.junit.internal.runners.ErrorReportingRunner
0,org.junit.runner.Runner,uses,org.junit.runner.notification.RunNotifier
1,org.junit.runner.Computer,uses,org.junit.runners.Suite
1,org.junit.runner.Runner,uses,org.junit.runner.notification.RunNotifier
1,org.junit.runner.Request,uses,org.junit.internal.builders.AllDefaultPossibilitiesBuilder
1,org.junit.runner.JUnitCore,uses,org.junit.internal.runners.JUnit38ClassRunner
1,org.junit.runner.Request,uses,org.junit.internal.requests.SortingRequest
1,org.junit.runner.Request,uses,org.junit.internal.requests.FilterRequest
1,org.junit.runner.Request,uses,org.junit.internal.requests.ClassRequest
1,org.junit.runners.Suite,uses,org.junit.internal.builders.AllDefaultPossibilitiesBuilder
1,org.junit.runners.model.RunnerBuilder,uses,org.junit.runner.Runner
1,junit.framework.JUnit4TestAdapter,uses,org.junit.runner.Request
1,org.junit.runner.Computer,uses,org.junit.runners.model.RunnerBuilder
1,org.junit.internal.builders.JUnit3Builder,uses,org.junit.internal.runners.JUnit38ClassRunner
1,org.junit.internal.builders.JUnit4Builder,uses,org.junit.runners.BlockJUnit4ClassRunner
1,org.junit.runner.Request,uses,org.junit.internal.runners.ErrorReportingRunner
1,org.junit.internal.requests.ClassRequest,uses,org.junit.internal.builders.AllDefaultPossibilitiesBuilder
1,org.junit.internal.builders.AllDefaultPossibilitiesBuilder,uses,org.junit.runner.Runner
1,org.junit.runner.notification.RunListener,uses,org.junit.runner.Result
1,junit.framework.JUnit4TestAdapter,uses,org.junit.internal.requests.ClassRequest
1,org.junit.runners.model.RunnerBuilder,uses,org.junit.internal.runners.ErrorReportingRunner
1,org.junit.runner.notification.Failure,uses,org.junit.runner.Description
1,org.junit.runner.Request,uses,org.junit.runners.model.RunnerBuilder
1,org.junit.runner.notification.RunListener,uses,org.junit.runner.Description
