iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog,677,0,0,0,6,0,0,11867
2,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.OptionConverter,284,1,1,0,16,0,0,13791
3,org.apache.log4j.spi.LocationInfo,uses,org.apache.log4j.Layout,291,0,0,0,15,0,0,4893
4,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.LogLog,275,1,1,0,16,0,0,4695
5,org.apache.log4j.spi.LocationInfo,uses,org.apache.log4j.helpers.LogLog,229,0,0,0,22,0,0,10172
6,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.Loader,562,0,0,0,7,0,0,3894
7,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.Loader,275,1,1,0,16,0,0,3793
8,org.apache.log4j.spi.NOPLogger,uses,org.apache.log4j.Category,182,0,1,0,28,0,0,11255
9,org.apache.log4j.spi.ThrowableInformation,uses,org.apache.log4j.DefaultThrowableRenderer,172,0,6,0,34,0,0,9110
10,org.apache.log4j.NDC,uses,org.apache.log4j.helpers.LogLog,162,0,0,0,35,0,0,5807
11,org.apache.log4j.spi.RootLogger,uses,org.apache.log4j.helpers.LogLog,98,0,0,0,51,0,0,17337
12,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.LogLog,80,0,0,0,53,0,0,5801
13,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.helpers.OptionConverter,80,0,0,0,55,0,0,6035
14,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.helpers.Loader,80,0,0,0,56,0,0,4956
15,org.apache.log4j.Hierarchy,uses,org.apache.log4j.helpers.LogLog,80,0,0,0,55,0,0,4756
16,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.helpers.LogLog,80,0,0,0,53,0,0,3957
17,org.apache.log4j.config.PropertySetter,uses,org.apache.log4j.helpers.OptionConverter,68,0,0,0,60,0,0,3954
