iteration,source,type,target
0,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
0,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
0,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
0,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
0,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
0,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
1,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
1,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
1,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
1,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
1,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
1,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
1,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
1,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
1,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
1,org.apache.log4j.Category,uses,org.apache.log4j.spi.LoggingEvent
1,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
1,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
1,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
1,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Category
1,org.apache.log4j.Layout,uses,org.apache.log4j.spi.LoggingEvent
1,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.spi.Filter
2,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
2,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
2,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
2,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
2,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
2,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
2,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
2,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
2,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
2,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Logger
2,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
2,org.apache.log4j.Layout,uses,org.apache.log4j.spi.LoggingEvent
2,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
2,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
2,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
3,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
3,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
3,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
3,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
3,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
3,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
3,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
3,org.apache.log4j.Category,uses,org.apache.log4j.spi.LoggingEvent
3,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
3,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
3,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
3,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
3,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
3,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
3,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Category
3,org.apache.log4j.Category,uses,org.apache.log4j.helpers.AppenderAttachableImpl
4,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
4,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
4,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
4,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
4,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
4,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
4,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
4,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
4,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
4,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
4,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.spi.ErrorHandler
4,org.apache.log4j.Category,uses,org.apache.log4j.spi.LoggingEvent
4,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
4,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
4,org.apache.log4j.Appender,uses,org.apache.log4j.spi.ErrorHandler
4,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Category
4,org.apache.log4j.Category,uses,org.apache.log4j.helpers.AppenderAttachableImpl
4,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.LogLog
4,org.apache.log4j.spi.AppenderAttachable,uses,org.apache.log4j.Appender
4,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.MDC
4,org.apache.log4j.spi.ThrowableInformation,uses,org.apache.log4j.Category
4,org.apache.log4j.Category,uses,org.apache.log4j.spi.HierarchyEventListener
5,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
5,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
5,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
5,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
5,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
5,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
5,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
6,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
6,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
6,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
6,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
6,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
6,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
6,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
6,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
6,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
6,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Logger
6,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
6,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
6,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
6,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
6,org.apache.log4j.Appender,uses,org.apache.log4j.spi.ErrorHandler
6,org.apache.log4j.Category,uses,org.apache.log4j.helpers.AppenderAttachableImpl
7,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
7,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
7,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
7,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
7,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
7,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
7,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
7,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
7,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
7,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
7,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Logger
7,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
7,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
7,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
7,org.apache.log4j.Appender,uses,org.apache.log4j.spi.ErrorHandler
7,org.apache.log4j.Category,uses,org.apache.log4j.helpers.AppenderAttachableImpl
7,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.LogLog
7,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Category
7,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.MDC
7,org.apache.log4j.spi.AppenderAttachable,uses,org.apache.log4j.Appender
7,org.apache.log4j.spi.ThrowableInformation,uses,org.apache.log4j.Category
7,org.apache.log4j.Category,uses,org.apache.log4j.spi.HierarchyEventListener
7,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.NDC
7,org.apache.log4j.spi.LocationInfo,uses,org.apache.log4j.helpers.LogLog
7,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Appender
7,org.apache.log4j.spi.NOPLoggerRepository,uses,org.apache.log4j.Logger
7,org.apache.log4j.spi.NOPLoggerRepository,uses,org.apache.log4j.Category
7,org.apache.log4j.spi.NOPLoggerRepository,uses,org.apache.log4j.Appender
8,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
8,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
8,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
8,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
8,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
8,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
8,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
8,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
8,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Logger
8,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
8,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
8,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
8,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.spi.ErrorHandler
8,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
8,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
8,org.apache.log4j.Appender,uses,org.apache.log4j.spi.ErrorHandler
8,org.apache.log4j.Category,uses,org.apache.log4j.spi.LoggingEvent
8,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Category
8,org.apache.log4j.Category,uses,org.apache.log4j.helpers.AppenderAttachableImpl
8,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.LogLog
8,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.MDC
8,org.apache.log4j.Logger,uses,org.apache.log4j.spi.LoggerRepository
8,org.apache.log4j.spi.AppenderAttachable,uses,org.apache.log4j.Appender
8,org.apache.log4j.spi.ThrowableInformation,uses,org.apache.log4j.Category
8,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.NDC
8,org.apache.log4j.spi.LocationInfo,uses,org.apache.log4j.helpers.LogLog
8,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Appender
8,org.apache.log4j.spi.NOPLoggerRepository,uses,org.apache.log4j.Logger
8,org.apache.log4j.spi.NOPLoggerRepository,uses,org.apache.log4j.Category
8,org.apache.log4j.spi.NOPLoggerRepository,uses,org.apache.log4j.Appender
8,org.apache.log4j.spi.NOPLogger,uses,org.apache.log4j.Category
8,org.apache.log4j.spi.NOPLogger,uses,org.apache.log4j.Appender
8,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Appender
8,org.apache.log4j.MDC,uses,org.apache.log4j.helpers.Loader
9,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.PropertyConfigurator
9,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.Category
9,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.NOPLoggerRepository
9,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Category
9,org.apache.log4j.helpers.OptionConverter,uses,org.apache.log4j.spi.LoggerRepository
9,org.apache.log4j.PropertyConfigurator,uses,org.apache.log4j.config.PropertySetter
9,org.apache.log4j.LogManager,uses,org.apache.log4j.helpers.OptionConverter
9,org.apache.log4j.spi.ErrorHandler,uses,org.apache.log4j.Logger
9,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.helpers.LogLog
9,org.apache.log4j.Category,uses,org.apache.log4j.spi.LoggingEvent
9,org.apache.log4j.Appender,uses,org.apache.log4j.spi.LoggingEvent
9,org.apache.log4j.LogManager,uses,org.apache.log4j.spi.RootLogger
9,org.apache.log4j.spi.LoggerFactory,uses,org.apache.log4j.Logger
9,org.apache.log4j.spi.HierarchyEventListener,uses,org.apache.log4j.Category
9,org.apache.log4j.Category,uses,org.apache.log4j.helpers.AppenderAttachableImpl
9,org.apache.log4j.or.RendererMap,uses,org.apache.log4j.helpers.LogLog
9,org.apache.log4j.spi.LoggingEvent,uses,org.apache.log4j.MDC
9,org.apache.log4j.spi.AppenderAttachable,uses,org.apache.log4j.Appender
9,org.apache.log4j.Appender,uses,org.apache.log4j.spi.ErrorHandler
9,org.apache.log4j.spi.LoggerRepository,uses,org.apache.log4j.Appender
