iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,com.mvnforum.db.ForumBean,uses,com.mvnforum.MVNForumConfig,12416,3,2,0,2,0,0,169430
2,com.mvnforum.db.ForumCache,uses,com.mvnforum.MVNForumConfig,2914,4,11,0,4,0,0,26867
3,com.mvnforum.db.CategoryCache,uses,com.mvnforum.MVNForumConfig,2421,3,9,0,4,0,0,10812
4,com.mvnforum.db.MemberCache,uses,com.mvnforum.MVNForumConfig,1368,0,0,0,4,0,0,10311
5,com.mvnforum.db.PostCache,uses,com.mvnforum.MVNForumConfig,618,0,0,0,8,0,0,30731
6,com.mvnforum.db.ThreadCache,uses,com.mvnforum.MVNForumConfig,586,0,0,0,8,0,0,10285
7,com.mvnforum.auth.OnlineUserFactoryImpl,uses,com.mvnforum.MVNForumConfig,505,0,1,0,8,0,0,10567
8,com.mvnforum.auth.MVNForumPermissionFactory,uses,com.mvnforum.MVNForumConfig,527,0,0,0,8,0,0,11221
9,com.mvnforum.auth.OnlineUserImpl,uses,com.mvnforum.MyUtil,505,0,1,0,8,0,0,10569
10,com.mvnforum.auth.OnlineUserImpl,uses,com.mvnforum.MVNForumConfig,491,0,0,0,8,0,0,10096
11,com.mvnforum.auth.MVNForumPermissionFactory,uses,com.mvnforum.MyUtil,541,0,1,0,8,0,0,10374
12,com.mvnforum.common.RemoteUserUtil,uses,com.mvnforum.MVNForumConfig,213,0,2,0,16,0,0,40634
13,com.mvnforum.auth.OnlineUserManager,uses,com.mvnforum.MVNForumConfig,203,0,0,0,18,0,0,19206
14,net.myvietnam.mvncore.MVNCoreConfig,uses,net.myvietnam.mvncore.util.StringUtil,127,0,0,0,39,0,0,84228
15,com.mvnforum.db.jdbc.MessageStatisticsDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,122,0,1,0,42,0,0,21356
16,com.mvnforum.db.jdbc.PmAttachmentDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,121,0,1,0,39,0,0,9988
17,com.mvnforum.db.jdbc.WatchDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,116,0,4,0,43,0,0,16697
18,com.mvnforum.db.jdbc.ThreadDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,116,0,2,0,43,0,0,10453
19,com.mvnforum.db.jdbc.PmAttachMessageDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,116,0,2,0,44,0,0,16793
20,com.mvnforum.db.jdbc.MessageFolderDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,115,0,1,0,43,0,0,11290
21,com.mvnforum.user.ThreadWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,41,0,0,21470
22,com.mvnforum.user.ForumWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,38,0,0,21481
