iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,com.mvnforum.db.ForumBean,uses,com.mvnforum.MVNForumConfig,12416,3,2,0,2,0,0,17953
2,com.mvnforum.db.CategoryCache,uses,com.mvnforum.MVNForumConfig,2413,3,9,0,4,0,0,11013
3,com.mvnforum.db.ForumCache,uses,com.mvnforum.MVNForumConfig,2911,4,9,0,3,0,0,8229
4,com.mvnforum.db.MemberCache,uses,com.mvnforum.MVNForumConfig,1369,0,0,0,4,0,0,8151
5,com.mvnforum.db.PostCache,uses,com.mvnforum.MVNForumConfig,618,0,0,0,8,0,0,18701
6,com.mvnforum.db.ThreadCache,uses,com.mvnforum.MVNForumConfig,586,0,0,0,8,0,0,8704
7,com.mvnforum.auth.OnlineUserFactoryImpl,uses,com.mvnforum.MVNForumConfig,491,0,0,0,8,0,0,7823
8,com.mvnforum.auth.OnlineUserImpl,uses,com.mvnforum.MVNForumConfig,491,0,0,0,8,0,0,8934
9,com.mvnforum.auth.OnlineUserImpl,uses,com.mvnforum.MyUtil,509,0,0,0,8,0,0,7844
10,com.mvnforum.auth.MVNForumPermissionFactory,uses,com.mvnforum.MyUtil,541,0,1,0,8,0,0,7900
11,com.mvnforum.auth.MVNForumPermissionFactory,uses,com.mvnforum.MVNForumConfig,537,0,0,0,8,0,0,7750
12,com.mvnforum.common.RemoteUserUtil,uses,com.mvnforum.MVNForumConfig,213,0,2,0,16,0,0,20456
13,com.mvnforum.auth.OnlineUserManager,uses,com.mvnforum.MVNForumConfig,203,0,0,0,19,0,0,13997
14,net.myvietnam.mvncore.MVNCoreConfig,uses,net.myvietnam.mvncore.util.StringUtil,127,0,0,0,44,0,0,45444
15,com.mvnforum.db.jdbc.MessageStatisticsDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,122,0,1,0,42,0,0,9850
16,com.mvnforum.db.jdbc.GroupForumDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,120,0,2,0,39,0,0,7875
17,com.mvnforum.db.jdbc.MemberGroupDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,118,0,2,0,38,0,0,7642
18,com.mvnforum.db.jdbc.PmAttachMessageDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,118,0,2,0,42,0,0,7750
19,com.mvnforum.db.jdbc.MemberForumDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,116,0,2,0,42,0,0,7776
20,com.mvnforum.db.jdbc.PmAttachmentDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,115,0,1,0,41,0,0,8315
21,com.mvnforum.user.ThreadWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,35,0,0,12789
22,com.mvnforum.user.MemberWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,41,0,0,12412
23,com.mvnforum.user.PostWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,35,0,0,7804
24,com.mvnforum.user.ForumWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,40,0,0,7704
25,com.mvnforum.db.jdbc.WatchDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,110,0,4,0,36,0,0,7704
26,com.mvnforum.db.jdbc.FavoriteThreadDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,109,0,3,0,39,0,0,7857
27,com.mvnforum.db.jdbc.AttachmentDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,108,0,2,0,35,0,0,7728
28,com.mvnforum.db.jdbc.GroupPermissionDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,107,0,1,0,38,0,0,8225
29,com.mvnforum.db.jdbc.MessageDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,104,0,2,0,37,0,0,7907
30,com.mvnforum.db.jdbc.MemberPermissionDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,105,0,1,0,37,0,0,8875
31,com.mvnforum.db.jdbc.PostDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,101,0,3,0,37,0,0,9751
32,com.mvnforum.db.jdbc.ThreadDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,102,0,2,0,38,0,0,8188
33,com.mvnforum.db.jdbc.ForumDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,102,0,2,0,31,0,0,8695
34,com.mvnforum.db.jdbc.MessageFolderDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,101,0,1,0,31,0,0,8949
35,com.mvnforum.db.jdbc.GroupsDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,99,0,1,0,36,0,0,9117
36,com.mvnforum.common.SendMailUtil,uses,com.mvnforum.user.UserModuleConfig,64,0,0,0,68,0,0,57350
37,com.mvnforum.admin.ImportWebHandler,uses,com.mvnforum.user.UserModuleConfig,64,0,0,0,66,0,0,8843
38,com.mvnforum.categorytree.impl.ListForums,uses,com.mvnforum.user.WatchUtil,64,0,0,0,66,0,0,7927
39,com.mvnforum.admin.AdminModuleProcessor,uses,com.mvnforum.user.UserModuleConfig,64,0,0,0,68,0,0,9398
40,com.mvnforum.service.impl.MvnForumLifeCycleServiceImplDefault,uses,com.mvnforum.MVNForumConfig,57,0,0,0,74,0,0,16674
41,com.mvnforum.admin.ForumWebHandler,uses,com.mvnforum.common.AttachmentUtil,49,0,0,0,78,0,0,11943
42,com.mvnforum.common.AttachmentUtil,uses,com.mvnforum.MVNForumConfig,60,0,0,0,70,0,0,7795
