counter,instances,instances(%),weakerInstances,weakerInstances(%)
0,26454,100.0,384,100.0
1,14987,56.66,384,100.0
2,14190,53.65,384,100.0
3,11266,42.59,384,100.0
4,9898,37.42,384,100.0
5,9280,35.08,384,100.0
6,8694,32.87,384,100.0
7,8505,32.16,384,100.0
8,8316,31.44,384,100.0
9,8127,30.73,384,100.0
10,7939,30.02,384,100.0
11,7714,29.17,384,100.0
12,7684,29.05,384,100.0
13,7684,29.05,384,100.0
14,7558,28.58,384,100.0
15,7558,28.58,384,100.0
16,7436,28.11,384,100.0
17,7436,28.11,384,100.0
18,7316,27.66,384,100.0
19,7198,27.21,384,100.0
20,7082,26.78,384,100.0
21,7073,26.74,384,100.0
22,7059,26.69,384,100.0
23,7050,26.66,384,100.0
24,6942,26.25,384,100.0
25,6828,25.82,384,100.0
26,6716,25.39,384,100.0
27,6606,24.98,384,100.0
28,6498,24.57,384,100.0
29,6498,24.57,384,100.0
30,6392,24.17,384,100.0
31,6392,24.17,384,100.0
32,6392,24.17,384,100.0
33,6288,23.77,384,100.0
34,6186,23.39,384,100.0
35,6186,23.39,384,100.0
36,6122,23.15,384,100.0
37,6058,22.91,384,100.0
38,5995,22.67,384,100.0
39,5931,22.43,384,100.0
40,5925,22.4,384,100.0
41,5958,22.53,384,100.0
42,5927,22.41,384,100.0
43,5896,22.29,384,100.0
44,5857,22.15,384,100.0
45,5843,22.09,384,100.0
46,5804,21.94,384,100.0
47,5802,21.94,384,100.0
48,5796,21.91,384,100.0
49,5796,21.91,384,100.0
50,5796,21.91,384,100.0
