iteration,source,type,target
0,com.opensymphony.oscache.base.events.CachewideEvent,uses,com.opensymphony.oscache.base.Cache
0,com.opensymphony.oscache.base.events.CacheGroupEvent,uses,com.opensymphony.oscache.base.Cache
0,com.opensymphony.oscache.base.events.CachePatternEvent,uses,com.opensymphony.oscache.base.Cache
0,com.opensymphony.oscache.base.events.CacheEntryEvent,uses,com.opensymphony.oscache.base.Cache
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheEntryEvent
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CachePatternEvent
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheGroupEvent
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CachewideEvent
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheEntryEventListener
0,com.opensymphony.oscache.base.persistence.PersistenceListener,uses,com.opensymphony.oscache.base.Config
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheMapAccessEvent
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.algorithm.AbstractConcurrentReadCache
0,com.opensymphony.oscache.base.events.CacheMapAccessEvent,uses,com.opensymphony.oscache.base.CacheEntry
0,com.opensymphony.oscache.base.algorithm.AbstractConcurrentReadCache,uses,com.opensymphony.oscache.base.CacheEntry
0,com.opensymphony.oscache.base.CacheEntry,uses,com.opensymphony.oscache.web.filter.ResponseContent
0,com.opensymphony.oscache.base.AbstractCacheAdministrator,uses,com.opensymphony.oscache.base.events.CacheEntryEventListener
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.persistence.PersistenceListener
0,com.opensymphony.oscache.base.events.CacheEntryEvent,uses,com.opensymphony.oscache.base.CacheEntry
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheMapAccessEventListener
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheEventListener
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheMapAccessEventType
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CacheEntryEventType
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.events.CachewideEventType
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.algorithm.UnlimitedCache
0,com.opensymphony.oscache.web.ServletCacheAdministrator,uses,com.opensymphony.oscache.base.CacheEntry
0,com.opensymphony.oscache.base.Cache,uses,com.opensymphony.oscache.base.algorithm.LRUCache
0,com.opensymphony.oscache.base.algorithm.AbstractConcurrentReadCache,uses,com.opensymphony.oscache.base.persistence.PersistenceListener
0,com.opensymphony.oscache.web.filter.CacheFilter,uses,com.opensymphony.oscache.base.EntryRefreshPolicy
0,com.opensymphony.oscache.web.filter.ICacheKeyProvider,uses,com.opensymphony.oscache.web.ServletCacheAdministrator
0,com.opensymphony.oscache.web.filter.ICacheGroupsProvider,uses,com.opensymphony.oscache.web.ServletCacheAdministrator
0,com.opensymphony.oscache.base.AbstractCacheAdministrator,uses,com.opensymphony.oscache.base.persistence.PersistenceListener
0,com.opensymphony.oscache.web.filter.ICacheGroupsProvider,uses,com.opensymphony.oscache.base.Cache
0,com.opensymphony.oscache.web.filter.ICacheKeyProvider,uses,com.opensymphony.oscache.base.Cache
0,com.opensymphony.oscache.web.filter.ExpiresRefreshPolicy,uses,com.opensymphony.oscache.base.CacheEntry
0,com.opensymphony.oscache.web.filter.CacheFilter,uses,com.opensymphony.oscache.web.ServletCacheAdministrator
0,com.opensymphony.oscache.base.AbstractCacheAdministrator,uses,com.opensymphony.oscache.base.events.CacheMapAccessEventListener
0,com.opensymphony.oscache.web.filter.CacheFilter,uses,com.opensymphony.oscache.base.Cache
