iteration,source,type,target
0,org.quartz.PriorityTest,uses,org.quartz.impl.StdSchedulerFactory
1,org.quartz.PriorityTest,uses,org.quartz.impl.StdSchedulerFactory
1,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.impl.jdbcjobstore.JobStoreSupport
1,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.core.QuartzScheduler
1,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.ee.jta.JTAJobRunShellFactory
1,org.quartz.impl.jdbcjobstore.JobStoreSupport,uses,org.quartz.CronTrigger
1,org.quartz.impl.jdbcjobstore.JobStoreSupport,uses,org.quartz.SimpleTrigger
1,org.quartz.Scheduler,uses,org.quartz.spi.JobFactory
1,org.quartz.ee.jta.JTAJobRunShellFactory,uses,org.quartz.core.JobRunShell
1,org.quartz.JobExecutionContext,uses,org.quartz.spi.TriggerFiredBundle
1,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.spi.JobStore
1,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.simpl.RAMJobStore
1,org.quartz.core.QuartzScheduler,uses,org.quartz.impl.SchedulerRepository
1,org.quartz.plugins.xml.XMLSchedulingDataProcessorPlugin,uses,org.quartz.simpl.CascadingClassLoadHelper
1,org.quartz.impl.StdScheduler,uses,org.quartz.core.QuartzScheduler
2,org.quartz.PriorityTest,uses,org.quartz.impl.StdSchedulerFactory
2,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.impl.jdbcjobstore.JobStoreSupport
2,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.core.QuartzScheduler
2,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.core.JobRunShellFactory
2,org.quartz.impl.jdbcjobstore.JobStoreSupport,uses,org.quartz.CronTrigger
2,org.quartz.impl.jdbcjobstore.JobStoreSupport,uses,org.quartz.SimpleTrigger
2,org.quartz.Scheduler,uses,org.quartz.spi.JobFactory
2,org.quartz.JobExecutionContext,uses,org.quartz.spi.TriggerFiredBundle
2,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.spi.JobStore
2,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.simpl.RAMJobStore
2,org.quartz.impl.StdScheduler,uses,org.quartz.core.QuartzScheduler
2,org.quartz.plugins.xml.XMLSchedulingDataProcessorPlugin,uses,org.quartz.simpl.CascadingClassLoadHelper
2,org.quartz.core.QuartzScheduler,uses,org.quartz.impl.SchedulerRepository
2,org.quartz.utils.counter.CounterManagerImpl,uses,org.quartz.utils.counter.sampled.SampledCounterImpl
2,org.quartz.core.QuartzScheduler,uses,org.quartz.SimpleTrigger
2,org.quartz.core.QuartzScheduler,uses,org.quartz.simpl.SimpleJobFactory
2,org.quartz.core.QuartzSchedulerMBeanImpl,uses,org.quartz.core.jmx.JobExecutionContextSupport
2,org.quartz.spi.TriggerFiredBundle,uses,org.quartz.Trigger
2,org.quartz.impl.StdSchedulerFactory,uses,org.quartz.ee.jta.JTAJobRunShellFactory
2,org.quartz.impl.StdScheduler,uses,org.quartz.SchedulerListener
