iteration,source,type,target
0,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.ClientHandlerObjectFactory
0,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BasicClientHandler
0,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BlockingClientHandler
0,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
0,org.quickserver.util.pool.thread.ClientPool,uses,org.quickserver.net.server.ClientHandler
0,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientWriteHandler
0,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.BasicServerConfig
0,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.impl.DefaultClientEventHandler
0,org.quickserver.util.io.ByteBufferInputStream,uses,org.quickserver.net.server.QuickServer
1,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.ClientHandlerObjectFactory
1,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.BasicClientHandler
1,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
1,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BlockingClientHandler
1,org.quickserver.util.pool.thread.ClientPool,uses,org.quickserver.net.server.ClientHandler
1,org.quickserver.net.qsadmin.QSAdminServer,uses,org.quickserver.net.server.QuickServer
1,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientExtendedEventHandler
1,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.BasicServerConfig
2,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.ClientHandlerObjectFactory
2,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.BasicClientHandler
2,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
2,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BlockingClientHandler
2,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientEventHandler
2,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.BasicServerConfig
2,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.impl.DefaultClientEventHandler
2,org.quickserver.util.io.ByteBufferInputStream,uses,org.quickserver.net.server.QuickServer
2,org.quickserver.net.ServerHook,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.ClientHandlerObjectFactory
3,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.BasicClientHandler
3,org.quickserver.util.io.ByteBufferOutputStream,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.io.ByteBufferOutputStream
3,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BlockingClientHandler
3,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientCommandHandler
3,org.quickserver.util.io.ByteBufferInputStream,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.BasicServerConfig
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.impl.DefaultClientEventHandler
3,org.quickserver.net.ServerHook,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.util.pool.thread.ClientPool,uses,org.quickserver.net.server.ClientHandler
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.qsadmin.QSAdminServer
3,org.quickserver.util.io.ByteBufferOutputStream,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.util.xmlreader.ConfigReader,uses,org.quickserver.util.io.ByteBufferOutputStream
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.thread.ClientPool
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.security.SecureStoreManager
3,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.io.ByteBufferInputStream
3,org.quickserver.net.InitServerHook,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.net.server.impl.DefaultClientEventHandler,uses,org.quickserver.net.server.ClientHandler
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.ConfigReader
3,org.quickserver.util.pool.thread.ClientThread,uses,org.quickserver.net.server.ClientHandler
3,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.InitServerHook
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.ServerHook
3,org.quickserver.net.server.gui.About,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.gui.About
3,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.net.qsadmin.QSAdminServer,uses,org.quickserver.net.server.QuickServer
3,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.QuickServerConfig
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.QSAdminServerConfig
3,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.util.xmlreader.BasicServerConfig
3,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BasicClientHandler
3,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.util.pool.thread.ClientPool
3,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.thread.ThreadObjectFactory
3,org.quickserver.net.server.QuickAuthenticator,uses,org.quickserver.util.io.ByteBufferInputStream
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.ClientHandlerObjectFactory
4,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BasicClientHandler
4,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.BlockingClientHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientWriteHandler
4,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
4,org.quickserver.util.io.ByteBufferInputStream,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.BasicServerConfig
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.impl.DefaultClientEventHandler
4,org.quickserver.net.ServerHook,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.util.pool.thread.ClientPool,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.qsadmin.QSAdminServer
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.io.ByteBufferOutputStream
4,org.quickserver.util.io.ByteBufferOutputStream,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.security.SecureStoreManager
4,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.BasicClientHandler
4,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.net.server.impl.NonBlockingClientHandler
4,org.quickserver.util.io.ByteBufferOutputStream,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.thread.ThreadObjectFactory
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.io.ByteBufferInputStream
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.pool.thread.ClientPool
4,org.quickserver.net.InitServerHook,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.util.xmlreader.ConfigReader,uses,org.quickserver.util.io.ByteBufferOutputStream
4,org.quickserver.net.server.impl.DefaultClientEventHandler,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.util.pool.thread.ClientThread,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.util.xmlreader.ConfigReader,uses,org.quickserver.util.io.ByteBufferInputStream
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.ConfigReader
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.InitServerHook
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.ServerHook
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.gui.About
4,org.quickserver.net.server.gui.About,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.QuickServerConfig
4,org.quickserver.net.qsadmin.QSAdminServer,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.QSAdminServerConfig
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.util.xmlreader.BasicServerConfig
4,org.quickserver.security.SecureStoreManager,uses,org.quickserver.util.xmlreader.ConfigReader
4,org.quickserver.net.server.GhostSocketReaper,uses,org.quickserver.util.pool.thread.ClientPool
4,org.quickserver.net.server.QuickAuthenticator,uses,org.quickserver.util.io.ByteBufferInputStream
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientEventHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientObjectHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientCommandHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientAuthenticationHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientBinaryHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.ClientExtendedEventHandler
4,org.quickserver.util.xmlreader.BasicServerConfig,uses,org.quickserver.net.server.Authenticator
4,org.quickserver.util.pool.ClientHandlerObjectFactory,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.net.server.impl.RegisterChannelRequest
4,org.quickserver.net.server.QuickServer,uses,org.quickserver.util.xmlreader.DefaultDataMode
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.TheClient
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.util.xmlreader.BasicServerConfig
4,org.quickserver.util.io.ByteBufferInputStream,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.util.io.ByteBufferOutputStream,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.net.qsadmin.QSAdminShell,uses,org.quickserver.net.server.QuickServer
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientEventHandler
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientEventHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientObjectHandler
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientWriteHandler
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientBinaryHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientEventHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientWriteHandler
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientCommandHandler
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientWriteHandler
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.Authenticator
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientBinaryHandler
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientAuthenticationHandler
4,org.quickserver.net.server.impl.DefaultClientEventHandler,uses,org.quickserver.net.server.ClientCommandHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientExtendedEventHandler
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientBinaryHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientAuthenticationHandler
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientObjectHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientCommandHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.Authenticator
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.ClientAuthenticationHandler
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.TheClient
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientCommandHandler
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.Authenticator
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.TheClient
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.qsadmin.QSAdminShell
4,org.quickserver.net.qsadmin.CommandPlugin,uses,org.quickserver.net.server.ClientHandler
4,org.quickserver.util.xmlreader.DefaultDataMode,uses,org.quickserver.net.server.DataType
4,org.quickserver.util.xmlreader.DefaultDataMode,uses,org.quickserver.net.server.DataMode
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientData
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.DataMode
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.AuthStatus
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.DataMode
4,org.quickserver.net.qsadmin.QSAdminServer,uses,org.quickserver.util.xmlreader.BasicServerConfig
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.DataType
4,org.quickserver.net.server.impl.BlockingClientHandler,uses,org.quickserver.net.server.DataType
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.DataMode
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.DataType
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.ClientEvent
4,org.quickserver.util.pool.thread.ClientThread,uses,org.quickserver.net.server.ClientEvent
4,org.quickserver.net.server.impl.BasicClientHandler,uses,org.quickserver.net.server.AuthStatus
4,org.quickserver.net.server.impl.NonBlockingClientHandler,uses,org.quickserver.net.server.ClientEvent
