iteration,source,type,target
0,org.sablecc.sablecc.node.ANewListTerm,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AProd,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AAstProd,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AProductions,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TId,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AAst,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AStarUnOp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ARegExp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AHelpers,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ATokens,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AConcat,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AIgnTokens,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ANewTerm,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AListTerm,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AStateList,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AAstAlt,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AAlt,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AAltTransform,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ATransition,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ASimpleListTerm,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.APlusUnOp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AGrammar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AStates,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AUnExp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AOperationSet,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.Start,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AIntervalSet,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ACharBasic,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ASetBasic,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ACharChar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ARegExpBasic,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ATokenSpecifier,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ANullTerm,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AElem,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AMinusBinOp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.APlusBinOp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AProductionSpecifier,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TPkgId,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ASimpleTerm,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AHelperDef,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AStateListTail,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AStringBasic,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AIdBasic,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AProdName,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ADecChar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AQMarkUnOp,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.AHexChar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.ATokenDef,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TRBrace,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.THexChar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TLBrace,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TStar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TLBkt,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TChar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TArrow,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TSlash,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TString,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TQMark,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TDecChar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.EOF,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TLPar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TPlus,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.AProd
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.ARegExp
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.AHelpers
0,org.sablecc.sablecc.node.TStates,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TComma,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TDot,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TRPar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TBlank,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TTokens,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TComment,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TIgnored,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TColon,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TDDot,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TNew,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TBar,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TAbstract,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TSemicolon,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TSyntax,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TTree,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TEqual,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TProductions,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TRBkt,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TTokenSpecifier,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.THelpers,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TNull,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TProductionSpecifier,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TMinus,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.node.TPackage,uses,org.sablecc.sablecc.analysis.Analysis
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TColon
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.THelpers
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TMinus
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TIgnored
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TTree
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TBlank
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TComma
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TPackage
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TNull
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TDDot
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TProductions
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TProductionSpecifier
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TSemicolon
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TAbstract
0,org.sablecc.sablecc.analysis.Analysis,uses,org.sablecc.sablecc.node.TBar
