iteration,source,type,target
0,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.runtime.parser.Parser
0,org.apache.velocity.runtime.directive.Directive,uses,org.apache.velocity.runtime.RuntimeServices
0,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.directive.Directive
0,org.apache.velocity.app.event.EventCartridge,uses,org.apache.velocity.runtime.RuntimeServices
0,org.apache.velocity.context.InternalEventContext,uses,org.apache.velocity.app.event.EventCartridge
0,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.parser.node.Node
1,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.runtime.parser.Parser
1,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.directive.Directive
1,org.apache.velocity.runtime.directive.Directive,uses,org.apache.velocity.runtime.RuntimeServices
1,org.apache.velocity.runtime.resource.Resource,uses,org.apache.velocity.runtime.RuntimeServices
1,org.apache.velocity.context.InternalHousekeepingContext,uses,org.apache.velocity.runtime.resource.Resource
1,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.parser.node.Node
1,org.apache.velocity.runtime.parser.node.ASTDirective,uses,org.apache.velocity.runtime.directive.RuntimeMacro
2,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.runtime.parser.Parser
2,org.apache.velocity.runtime.resource.Resource,uses,org.apache.velocity.runtime.RuntimeServices
2,org.apache.velocity.context.InternalHousekeepingContext,uses,org.apache.velocity.runtime.resource.Resource
2,org.apache.velocity.runtime.log.LogChute,uses,org.apache.velocity.runtime.RuntimeServices
2,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.parser.node.Node
2,org.apache.velocity.runtime.parser.node.ASTDirective,uses,org.apache.velocity.runtime.directive.RuntimeMacro
2,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTDirective
2,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.Template
2,org.apache.velocity.runtime.directive.VelocimacroProxy,uses,org.apache.velocity.context.ProxyVMContext
3,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.runtime.parser.Parser
3,org.apache.velocity.runtime.resource.Resource,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.context.InternalHousekeepingContext,uses,org.apache.velocity.runtime.resource.Resource
3,org.apache.velocity.runtime.directive.Directive,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.directive.Directive
3,org.apache.velocity.runtime.parser.node.ASTDirective,uses,org.apache.velocity.runtime.directive.RuntimeMacro
3,org.apache.velocity.runtime.log.Log,uses,org.apache.velocity.runtime.parser.node.Node
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTDirective
3,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.Template
3,org.apache.velocity.runtime.log.LogChute,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.runtime.directive.VelocimacroProxy,uses,org.apache.velocity.context.ProxyVMContext
3,org.apache.velocity.app.event.EventCartridge,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTSetDirective
3,org.apache.velocity.util.introspection.Introspector,uses,org.apache.velocity.runtime.log.RuntimeLoggerLog
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTReference
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.runtime.resource.ContentResource
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTMethod
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTIdentifier
3,org.apache.velocity.app.event.EventHandlerUtil,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTStringLiteral
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTMulNode
3,org.apache.velocity.runtime.parser.JJTParserState,uses,org.apache.velocity.runtime.parser.node.Node
3,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.runtime.parser.node.SimpleNode
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTLTNode
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTGENode
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTLENode
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTGTNode
3,org.apache.velocity.runtime.RuntimeServices,uses,org.apache.velocity.util.introspection.Introspector
3,org.apache.velocity.context.ProxyVMContext,uses,org.apache.velocity.runtime.parser.node.ASTReference
3,org.apache.velocity.Template,uses,org.apache.velocity.runtime.parser.node.SimpleNode
3,org.apache.velocity.runtime.parser.node.SimpleNode,uses,org.apache.velocity.runtime.RuntimeServices
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTEQNode
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.Node
3,org.apache.velocity.runtime.parser.Parser,uses,org.apache.velocity.runtime.parser.node.ASTNENode
