iteration,source,type,target
0,javax.management.MBeanServerFactory,uses,com.adventnet.jmx.MBeanServerImpl
0,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.modelmbean.RequiredModelMBean
1,javax.management.MBeanServerFactory,uses,com.adventnet.jmx.MBeanServerImpl
1,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.modelmbean.RequiredModelMBean
1,javax.management.NotificationBroadcasterSupport,uses,com.adventnet.jmx.NotificationThread
1,javax.management.NotificationBroadcasterSupport,uses,com.adventnet.jmx.NotificationHandler
1,com.adventnet.jmx.utils.JmxUtilities,uses,javax.management.ObjectName
1,com.adventnet.jmx.NotificationHandler,uses,javax.management.Notification
1,com.adventnet.jmx.NotificationThread,uses,javax.management.Notification
2,javax.management.MBeanServerFactory,uses,com.adventnet.jmx.MBeanServerImpl
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.modelmbean.RequiredModelMBean
2,javax.management.NotificationBroadcasterSupport,uses,com.adventnet.jmx.NotificationThread
2,javax.management.NotificationBroadcasterSupport,uses,com.adventnet.jmx.NotificationHandler
2,com.adventnet.jmx.NotificationHandler,uses,javax.management.Notification
2,com.adventnet.jmx.NotificationThread,uses,javax.management.Notification
2,javax.management.modelmbean.RequiredModelMBean,uses,javax.management.NotificationBroadcasterSupport
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.modelmbean.ModelMBean
2,javax.management.modelmbean.RequiredModelMBean,uses,javax.management.AttributeChangeNotificationFilter
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.NotificationBroadcaster
2,javax.management.modelmbean.ModelMBeanNotificationBroadcaster,uses,javax.management.Notification
2,javax.management.loading.MLet,uses,javax.management.ObjectName
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.NotificationFilter
2,javax.management.modelmbean.RequiredModelMBean,uses,javax.management.ObjectName
2,com.adventnet.jmx.NotificationThread,uses,javax.management.NotificationFilter
2,com.adventnet.jmx.NotificationHandler,uses,javax.management.NotificationFilter
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.MBeanServerDelegate
2,com.adventnet.jmx.utils.JmxUtilities,uses,javax.management.ObjectName
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.NotificationListener
2,com.adventnet.jmx.DefaultDynamicMBean,uses,javax.management.MBeanServer
2,com.adventnet.jmx.MBeanServerImpl,uses,javax.management.MBeanRegistration
