iteration,source,type,target
0,org.objectweb.cjdbc.controller.core.Controller,uses,org.objectweb.cjdbc.controller.xml.DatabasesParser
0,org.objectweb.cjdbc.controller.connection.DriverManager,uses,org.objectweb.cjdbc.controller.core.Controller
0,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.Controller
0,org.objectweb.cjdbc.controller.loadbalancer.AbstractLoadBalancer,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
0,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseAdmin
0,org.objectweb.cjdbc.controller.backend.DatabaseBackend,uses,org.objectweb.cjdbc.controller.connection.AbstractConnectionManager
0,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb1DistributedRequestManager
0,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole
0,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase,uses,org.objectweb.cjdbc.controller.core.Controller
0,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog,uses,org.objectweb.cjdbc.controller.connection.DriverManager
0,org.objectweb.cjdbc.controller.requestmanager.distributed.DistributedRequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase
0,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.ControllerConsole
0,org.objectweb.cjdbc.console.text.commands.ConsoleCommand,uses,org.objectweb.cjdbc.console.text.Console
0,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.MonitorConsole
0,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb1.RAIDb1_WRR
0,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb2.RAIDb2_LPRF
0,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb2DistributedRequestManager
0,org.objectweb.cjdbc.controller.core.ControllerFactory,uses,org.objectweb.cjdbc.controller.monitoring.datacollector.DataCollector
0,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.shutdown.VirtualDatabaseShutdownThread
1,org.objectweb.cjdbc.controller.core.Controller,uses,org.objectweb.cjdbc.controller.xml.DatabasesParser
1,org.objectweb.cjdbc.controller.connection.DriverManager,uses,org.objectweb.cjdbc.controller.core.Controller
1,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.Controller
1,org.objectweb.cjdbc.controller.backend.DatabaseBackend,uses,org.objectweb.cjdbc.controller.connection.AbstractConnectionManager
1,org.objectweb.cjdbc.controller.loadbalancer.AbstractLoadBalancer,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
1,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseAdmin
1,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb1DistributedRequestManager
1,org.objectweb.cjdbc.controller.requestmanager.distributed.DistributedRequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
1,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog,uses,org.objectweb.cjdbc.controller.connection.DriverManager
1,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.MonitorConsole
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb2.RAIDb2_RR
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb1.RAIDb1_LPRF
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb2DistributedRequestManager
1,org.objectweb.cjdbc.controller.core.ControllerFactory,uses,org.objectweb.cjdbc.controller.monitoring.datacollector.DataCollector
1,org.objectweb.cjdbc.console.text.commands.ConsoleCommand,uses,org.objectweb.cjdbc.console.text.Console
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.scheduler.raidb1.RAIDb1PassThroughScheduler
1,org.objectweb.cjdbc.controller.backend.BackendStateListener,uses,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog
1,org.objectweb.cjdbc.common.shared.BackendInfo,uses,org.objectweb.cjdbc.controller.backend.DatabaseBackend
1,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.ControllerConsole
1,org.objectweb.cjdbc.controller.requestmanager.RequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
1,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.shutdown.VirtualDatabaseShutdownThread
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase
1,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb0.RAIDb0
1,org.objectweb.cjdbc.controller.backup.Backuper,uses,org.objectweb.cjdbc.controller.backend.DatabaseBackend
2,org.objectweb.cjdbc.controller.core.Controller,uses,org.objectweb.cjdbc.controller.xml.DatabasesParser
2,org.objectweb.cjdbc.controller.connection.DriverManager,uses,org.objectweb.cjdbc.controller.core.Controller
2,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.Controller
2,org.objectweb.cjdbc.controller.loadbalancer.AbstractLoadBalancer,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
2,org.objectweb.cjdbc.controller.backend.DatabaseBackend,uses,org.objectweb.cjdbc.controller.connection.AbstractConnectionManager
2,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseAdmin
2,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb1DistributedRequestManager
2,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.ControllerConsole
2,org.objectweb.cjdbc.controller.requestmanager.distributed.DistributedRequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
2,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog,uses,org.objectweb.cjdbc.controller.connection.DriverManager
2,org.objectweb.cjdbc.console.text.commands.ConsoleCommand,uses,org.objectweb.cjdbc.console.text.Console
2,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.MonitorConsole
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb2.RAIDb2_RR
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb1.RAIDb1_RR
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb2DistributedRequestManager
2,org.objectweb.cjdbc.controller.core.ControllerFactory,uses,org.objectweb.cjdbc.controller.monitoring.datacollector.DataCollector
2,org.objectweb.cjdbc.common.shared.BackendInfo,uses,org.objectweb.cjdbc.controller.backend.DatabaseBackend
2,org.objectweb.cjdbc.controller.requestmanager.RequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
2,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.shutdown.VirtualDatabaseShutdownThread
2,org.objectweb.cjdbc.controller.backend.BackendStateListener,uses,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase
2,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase,uses,org.objectweb.cjdbc.controller.core.Controller
2,org.objectweb.cjdbc.controller.core.shutdown.VirtualDatabaseShutdownThread,uses,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb0.RAIDb0
2,org.objectweb.cjdbc.controller.backup.Backuper,uses,org.objectweb.cjdbc.controller.backend.DatabaseBackend
2,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog
2,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.DistributedRequestManager
2,org.objectweb.cjdbc.controller.core.Controller,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
2,org.objectweb.cjdbc.console.text.module.AbstractConsoleModule,uses,org.objectweb.cjdbc.console.text.Console
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseAdmin,uses,org.objectweb.cjdbc.console.text.commands.dbadmin.DisableRead
2,org.objectweb.cjdbc.controller.requestmanager.distributed.DistributedRequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.DistributedVirtualDatabase
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseAdmin,uses,org.objectweb.cjdbc.console.text.commands.dbadmin.ExpertMode
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.scheduler.raidb2.RAIDb2PassThroughScheduler
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb2.RAIDb2ec_WRR
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.scheduler.raidb1.RAIDb1PassThroughScheduler
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.CallStoredProcedure
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.ShowTables
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.SetSavePoint
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.Begin
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.SetIsolation
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.Commit
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.Rollback
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.Load
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.SetTimeout
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.SetFetchSize
2,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole,uses,org.objectweb.cjdbc.console.text.commands.sqlconsole.SetMaxRows
2,org.objectweb.cjdbc.console.text.module.ControllerConsole,uses,org.objectweb.cjdbc.console.text.commands.controller.Admin
2,org.objectweb.cjdbc.console.text.module.ControllerConsole,uses,org.objectweb.cjdbc.console.text.commands.controller.Connect
2,org.objectweb.cjdbc.console.text.module.ControllerConsole,uses,org.objectweb.cjdbc.console.text.commands.controller.Monitor
2,org.objectweb.cjdbc.console.text.commands.History,uses,org.objectweb.cjdbc.console.text.Console
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb1.RAIDb1ec_RR
2,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog
2,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.recoverylog.RecoverThread
2,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog,uses,org.objectweb.cjdbc.controller.loadbalancer.tasks.WriteRequestTask
3,org.objectweb.cjdbc.controller.core.Controller,uses,org.objectweb.cjdbc.controller.xml.DatabasesParser
3,org.objectweb.cjdbc.controller.connection.DriverManager,uses,org.objectweb.cjdbc.controller.core.Controller
3,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase,uses,org.objectweb.cjdbc.controller.core.Controller
3,org.objectweb.cjdbc.controller.backend.DriverCompliance,uses,org.objectweb.cjdbc.controller.connection.DriverManager
3,org.objectweb.cjdbc.controller.loadbalancer.AbstractLoadBalancer,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
3,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseAdmin
3,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb2DistributedRequestManager
3,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.VirtualDatabaseConsole
3,org.objectweb.cjdbc.controller.requestmanager.distributed.DistributedRequestManager,uses,org.objectweb.cjdbc.controller.virtualdatabase.VirtualDatabase
3,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.ControllerConsole
3,org.objectweb.cjdbc.controller.recoverylog.RecoveryLog,uses,org.objectweb.cjdbc.controller.connection.DriverManager
3,org.objectweb.cjdbc.console.text.Console,uses,org.objectweb.cjdbc.console.text.module.MonitorConsole
3,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb1.RAIDb1_LPRF
3,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.loadbalancer.raidb2.RAIDb2_RR
3,org.objectweb.cjdbc.controller.xml.DatabasesParser,uses,org.objectweb.cjdbc.controller.requestmanager.distributed.RAIDb1DistributedRequestManager
3,org.objectweb.cjdbc.controller.core.ControllerFactory,uses,org.objectweb.cjdbc.controller.monitoring.datacollector.DataCollector
