iteration,source,type,target
0,org.apache.cayenne.modeler.CayenneModelerController,uses,org.apache.cayenne.modeler.editor.EditorView
0,org.apache.cayenne.modeler.CayenneModelerFrame,uses,org.apache.cayenne.modeler.editor.EditorView
0,org.apache.cayenne.modeler.undo.CayenneUndoManager,uses,org.apache.cayenne.modeler.ActionManager
0,org.apache.cayenne.modeler.util.CayenneAction,uses,org.apache.cayenne.modeler.ProjectController
0,org.apache.cayenne.modeler.editor.EditorView,uses,org.apache.cayenne.modeler.editor.dbentity.DbEntityTabbedView
0,org.apache.cayenne.modeler.util.CayenneAction,uses,org.apache.cayenne.modeler.CayenneModelerController
0,org.apache.cayenne.modeler.undo.TextCompoundEdit,uses,org.apache.cayenne.modeler.editor.ObjEntityTabbedView
0,org.apache.cayenne.modeler.util.CayenneController,uses,org.apache.cayenne.modeler.Application
1,org.apache.cayenne.modeler.CayenneModelerFrame,uses,org.apache.cayenne.modeler.editor.EditorView
1,org.apache.cayenne.modeler.CayenneModelerController,uses,org.apache.cayenne.modeler.editor.EditorView
1,org.apache.cayenne.modeler.editor.EditorView,uses,org.apache.cayenne.modeler.editor.dbentity.DbEntityTabbedView
1,org.apache.cayenne.modeler.util.CayenneAction,uses,org.apache.cayenne.modeler.ProjectController
1,org.apache.cayenne.modeler.util.CayenneAction,uses,org.apache.cayenne.modeler.CayenneModelerController
1,org.apache.cayenne.modeler.action.RemoveAction,uses,org.apache.cayenne.modeler.undo.RemoveUndoableEdit
1,org.apache.cayenne.modeler.util.CayenneController,uses,org.apache.cayenne.modeler.Application
1,org.apache.cayenne.modeler.editor.EditorView,uses,org.apache.cayenne.modeler.editor.datanode.DataNodeEditor
1,org.apache.cayenne.modeler.editor.EditorView,uses,org.apache.cayenne.modeler.ProjectTreeView
1,org.apache.cayenne.modeler.util.ModelerUtil,uses,org.apache.cayenne.modeler.ProjectController
1,org.apache.cayenne.modeler.ActionManager,uses,org.apache.cayenne.modeler.action.PasteAction
1,org.apache.cayenne.modeler.action.GenerateCodeAction,uses,org.apache.cayenne.modeler.dialog.codegen.CodeGeneratorController
1,org.apache.cayenne.modeler.dialog.LogConsole,uses,org.apache.cayenne.modeler.CayenneModelerFrame
