iteration,source,type,target
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.coveragedata.CoverageData
0,net.sourceforge.cobertura.merge.MergeTest,uses,net.sourceforge.cobertura.coveragedata.CoverageData
0,net.sourceforge.cobertura.merge.Main,uses,net.sourceforge.cobertura.coveragedata.CoverageData
0,net.sourceforge.cobertura.merge.Main,uses,net.sourceforge.cobertura.coveragedata.ProjectData
0,net.sourceforge.cobertura.javancss.Javancss,uses,net.sourceforge.cobertura.javancss.parser.JavaParserInterface
0,net.sourceforge.cobertura.javancss.Javancss,uses,net.sourceforge.cobertura.javancss.parser.JavaParser
0,net.sourceforge.cobertura.javancss.Javancss,uses,net.sourceforge.cobertura.javancss.parser.debug.JavaParserDebug
0,net.sourceforge.cobertura.javancss.Javancss,uses,net.sourceforge.cobertura.javancss.parser.java15.JavaParser15
0,net.sourceforge.cobertura.coveragedata.TouchCollector,uses,net.sourceforge.cobertura.coveragedata.countermaps.AtomicCounterMap
0,net.sourceforge.cobertura.javancss.Javancss,uses,net.sourceforge.cobertura.javancss.parser.java15.debug.JavaParser15Debug
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.coveragedata.ClassData
0,net.sourceforge.cobertura.javancss.parser.debug.JavaParserDebug,uses,net.sourceforge.cobertura.javancss.ObjectMetric
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.reporting.ComplexityCalculator
0,net.sourceforge.cobertura.javancss.parser.debug.JavaParserDebug,uses,net.sourceforge.cobertura.javancss.FunctionMetric
0,net.sourceforge.cobertura.javancss.parser.java15.debug.JavaParser15Debug,uses,net.sourceforge.cobertura.javancss.PackageMetric
0,net.sourceforge.cobertura.reporting.xml.SummaryXMLReport,uses,net.sourceforge.cobertura.reporting.ComplexityCalculator
0,net.sourceforge.cobertura.reporting.Main,uses,net.sourceforge.cobertura.reporting.xml.XMLReport
0,net.sourceforge.cobertura.reporting.xml.XMLReport,uses,net.sourceforge.cobertura.reporting.ComplexityCalculator
0,net.sourceforge.cobertura.javancss.parser.debug.JavaParserDebug,uses,net.sourceforge.cobertura.javancss.PackageMetric
0,net.sourceforge.cobertura.coveragedata.TouchCollector,uses,net.sourceforge.cobertura.coveragedata.countermaps.CounterMap
0,net.sourceforge.cobertura.merge.MergeTest,uses,net.sourceforge.cobertura.coveragedata.LineData
0,net.sourceforge.cobertura.reporting.Main,uses,net.sourceforge.cobertura.reporting.xml.SummaryXMLReport
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.coveragedata.ProjectData
0,net.sourceforge.cobertura.merge.MergeTest,uses,net.sourceforge.cobertura.coveragedata.ProjectData
0,net.sourceforge.cobertura.javancss.parser.JavaParser,uses,net.sourceforge.cobertura.javancss.PackageMetric
0,net.sourceforge.cobertura.reporting.Main,uses,net.sourceforge.cobertura.reporting.html.HTMLReport
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.coveragedata.LineData
0,net.sourceforge.cobertura.javancss.parser.java15.JavaParser15,uses,net.sourceforge.cobertura.javancss.PackageMetric
0,net.sourceforge.cobertura.merge.MergeTest,uses,net.sourceforge.cobertura.coveragedata.ClassData
0,net.sourceforge.cobertura.merge.MergeTest,uses,net.sourceforge.cobertura.coveragedata.PackageData
0,net.sourceforge.cobertura.merge.MergeTest,uses,net.sourceforge.cobertura.coveragedata.SourceFileData
0,net.sourceforge.cobertura.javancss.parser.JavaParser,uses,net.sourceforge.cobertura.javancss.FunctionMetric
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.coveragedata.PackageData
0,net.sourceforge.cobertura.reporting.html.HTMLReport,uses,net.sourceforge.cobertura.coveragedata.SourceFileData
0,net.sourceforge.cobertura.javancss.parser.JavaParser,uses,net.sourceforge.cobertura.javancss.ObjectMetric
