iteration,source,type,target
0,org.columba.mail.gui.frame.AbstractMailFrameController,uses,org.columba.mail.gui.message.MessageController
0,org.columba.mail.folder.virtual.VirtualFolder,uses,org.columba.mail.gui.frame.AbstractMailFrameController
0,org.columba.mail.gui.tree.FolderTreeModel,uses,org.columba.mail.folder.imap.IMAPRootFolder
0,org.columba.mail.gui.message.command.OpenAttachmentCommand,uses,org.columba.mail.gui.messageframe.MessageFrameController
0,org.columba.mail.gui.message.MessageController,uses,org.columba.mail.gui.message.viewer.AttachmentsViewer
0,org.columba.mail.gui.messageframe.MessageFrameController,uses,org.columba.mail.gui.frame.ThreePaneMailFrameController
0,org.columba.mail.gui.message.viewer.AttachmentsViewer,uses,org.columba.mail.gui.message.action.OpenAttachmentAction
0,org.columba.mail.gui.message.action.OpenAttachmentAction,uses,org.columba.mail.gui.message.command.OpenAttachmentCommand
0,org.columba.mail.folder.event.FolderEventDelegator,uses,org.columba.mail.gui.tree.FolderTreeModel
0,org.columba.mail.gui.tree.util.FolderTreeCellRenderer,uses,org.columba.mail.folder.virtual.VirtualFolder
0,org.columba.mail.folder.AbstractFolder,uses,org.columba.mail.folder.event.FolderEventDelegator
0,org.columba.mail.gui.message.MessageController,uses,org.columba.mail.gui.message.viewer.Rfc822MessageViewer
0,org.columba.mail.gui.composer.ComposerController,uses,org.columba.mail.gui.composer.action.SaveAsDraftAction
0,org.columba.mail.gui.tree.comparator.FolderComparator,uses,org.columba.mail.folder.virtual.VirtualFolder
0,org.columba.mail.folder.AbstractFolderTst,uses,org.columba.mail.main.MailMain
0,org.columba.mail.gui.tree.FolderTreeModel,uses,org.columba.mail.folder.temp.TempFolder
0,org.columba.mail.gui.tree.TreeView,uses,org.columba.mail.gui.tree.comparator.FolderComparator
0,org.columba.mail.folder.imap.IMAPFolder,uses,org.columba.mail.folder.command.ApplyFilterCommand
0,org.columba.mail.gui.frame.ThreePaneMailFrameController,uses,org.columba.mail.gui.tree.action.RenameFolderAction
0,org.columba.mail.gui.tree.TreeController,uses,org.columba.mail.gui.tree.util.FolderTreeCellRenderer
0,org.columba.mail.gui.message.command.ViewMessageCommand,uses,org.columba.mail.gui.table.command.ViewHeaderListCommand
0,org.columba.mail.gui.table.command.ViewHeaderListCommand,uses,org.columba.mail.folder.imap.IMAPFolder
0,org.columba.mail.main.MailMain,uses,org.columba.mail.folder.virtual.ActivateVirtualFolderCommand
0,org.columba.mail.gui.message.MessageController,uses,org.columba.mail.gui.message.command.ViewMessageCommand
0,org.columba.mail.gui.tree.FolderTreeModel,uses,org.columba.mail.folder.Root
0,org.columba.mail.gui.frame.ThreePaneMailFrameController,uses,org.columba.mail.gui.tree.TreeController
