iteration,source,type,target
0,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawToolsMenu
0,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawFileMenu
0,at.bestsolution.drawswf.actions.AbstractDrawAction,uses,at.bestsolution.drawswf.DrawingPanel
0,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawToolsToolbar
0,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawFileToolbar
0,at.bestsolution.drawswf.DrawingPanel,uses,at.bestsolution.drawswf.drawobjects.DrawObjectFactory
0,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawEditMenu
0,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawEditToolbar
0,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawHelpMenu
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawToolsMenu
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawFileMenu
1,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawToolsToolbar
1,at.bestsolution.drawswf.actions.AbstractDrawAction,uses,at.bestsolution.drawswf.DrawingPanel
1,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawFileToolbar
1,at.bestsolution.drawswf.DrawingPanel,uses,at.bestsolution.drawswf.drawobjects.DrawObjectFactory
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawEditMenu
1,at.bestsolution.drawswf.drawobjects.DrawObject,uses,at.bestsolution.drawswf.DrawingPanel
1,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawEditToolbar
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawHelpMenu
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawMovieMenu
1,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawMovieToolbar
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawMenuInterface
1,at.bestsolution.drawswf.FlashGenerator,uses,at.bestsolution.drawswf.drawobjects.DrawObject
1,at.bestsolution.drawswf.DrawToolBar,uses,at.bestsolution.drawswf.toolbar.DrawToolbarInterface
1,at.bestsolution.drawswf.menu.DrawToolsMenu,uses,at.bestsolution.drawswf.actions.OpenOptionsDialogAction
1,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.actions.AbstractDrawAction
1,at.bestsolution.drawswf.menu.DrawFileMenu,uses,at.bestsolution.drawswf.actions.NewFileAction
1,at.bestsolution.drawswf.PluginLoader,uses,at.bestsolution.drawswf.actions.AbstractDrawAction
1,at.bestsolution.drawswf.menu.DrawMenuInterface,uses,at.bestsolution.drawswf.actions.AbstractDrawAction
1,at.bestsolution.drawswf.toolbar.DrawToolbarInterface,uses,at.bestsolution.drawswf.actions.AbstractDrawAction
1,at.bestsolution.drawswf.actions.OpenOptionsDialogAction,uses,at.bestsolution.drawswf.dialog.OptionsDialog
1,at.bestsolution.drawswf.DrawingPanel,uses,at.bestsolution.drawswf.drawobjects.DrawObject
2,at.bestsolution.drawswf.DrawMenuBar,uses,at.bestsolution.drawswf.menu.DrawToolsMenu
