iteration,source,type,target
1,edu.umd.cs.findbugs.classfile.DescriptorFactory,uses,edu.umd.cs.findbugs.FieldAnnotation
1,edu.umd.cs.findbugs.SourceLineAnnotation,uses,edu.umd.cs.findbugs.ba.ClassContext
1,edu.umd.cs.findbugs.SystemProperties,uses,edu.umd.cs.findbugs.ba.AnalysisContext
1,edu.umd.cs.findbugs.ba.AnalysisContext,uses,edu.umd.cs.findbugs.detect.UnreadFields
1,edu.umd.cs.findbugs.log.Profiler,uses,edu.umd.cs.findbugs.ba.AnalysisContext
1,edu.umd.cs.findbugs.classfile.IAnalysisCache,uses,edu.umd.cs.findbugs.log.Profiler
1,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.npe.IsNullValueDataflow
1,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.type.TypeDataflow
1,edu.umd.cs.findbugs.FieldAnnotation,uses,edu.umd.cs.findbugs.ba.AnalysisContext
1,edu.umd.cs.findbugs.ba.AnalysisContext,uses,edu.umd.cs.findbugs.Project
1,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.vna.ValueNumberDataflow
1,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.npe.UsagesRequiringNonNullValues
1,edu.umd.cs.findbugs.util.Util,uses,edu.umd.cs.findbugs.SystemProperties
1,edu.umd.cs.findbugs.Project,uses,edu.umd.cs.findbugs.filter.Filter
1,edu.umd.cs.findbugs.classfile.analysis.AnnotationValue,uses,edu.umd.cs.findbugs.classfile.DescriptorFactory
1,edu.umd.cs.findbugs.detect.UnreadFields,uses,edu.umd.cs.findbugs.BugInstance
1,edu.umd.cs.findbugs.ba.BasicBlock,uses,edu.umd.cs.findbugs.SystemProperties
1,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.npe2.DefinitelyNullSetDataflow
1,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefDataflow
2,edu.umd.cs.findbugs.classfile.DescriptorFactory,uses,edu.umd.cs.findbugs.FieldAnnotation
2,edu.umd.cs.findbugs.FieldAnnotation,uses,edu.umd.cs.findbugs.ba.AnalysisContext
2,edu.umd.cs.findbugs.SystemProperties,uses,edu.umd.cs.findbugs.ba.AnalysisContext
2,edu.umd.cs.findbugs.ba.AnalysisContext,uses,edu.umd.cs.findbugs.Project
2,edu.umd.cs.findbugs.ba.AnalysisContext,uses,edu.umd.cs.findbugs.detect.UnreadFields
2,edu.umd.cs.findbugs.classfile.IAnalysisCache,uses,edu.umd.cs.findbugs.log.Profiler
2,edu.umd.cs.findbugs.log.Profiler,uses,edu.umd.cs.findbugs.ba.AnalysisContext
2,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.type.TypeDataflow
2,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.npe.IsNullValueDataflow
2,edu.umd.cs.findbugs.ba.Dataflow,uses,edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefAnalysis
2,edu.umd.cs.findbugs.ba.ClassContext,uses,edu.umd.cs.findbugs.ba.npe.UsagesRequiringNonNullValues
2,edu.umd.cs.findbugs.util.Util,uses,edu.umd.cs.findbugs.SystemProperties
