iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,fitlibrary.closure.LookupClosureStandard,uses,fitlibrary.utility.ClassUtility,1405,0,110,0,16,0,0,33088
2,fitlibrary.table.CellOnList,uses,fitlibrary.global.PlugBoard,1282,1,159,0,15,0,0,17254
3,fitlibrary.table.RowOnList,uses,fitlibrary.global.PlugBoard,1402,1,144,0,15,0,0,17828
4,fitlibrary.tableOnParse.RowOnParse,uses,fitlibrary.global.PlugBoard,1275,1,144,0,17,0,0,17675
5,fitlibrary.tableOnParse.CellOnParse,uses,fitlibrary.global.PlugBoard,1826,1,207,0,11,0,0,15139
6,fitlibrary.parser.lookup.ParserSelectorForType,uses,fitlibrary.parser.collection.ListParser,939,23,460,0,11,0,0,15596
7,fitlibrary.traverse.workflow.DoTraverse,uses,fitlibrary.global.PlugBoard,672,6,5,0,25,0,0,40572
8,fitlibrary.traverse.Traverse,uses,fitlibrary.global.PlugBoard,802,0,0,0,23,0,0,15524
9,fitlibrary.utility.ClassUtility,uses,fitlibrary.global.PlugBoard,562,6,7,0,27,0,0,24874
10,fitlibrary.flow.DoAutoWrapper,uses,fitlibrary.parser.collection.ListParser,753,2,25,0,24,0,0,15568
11,fitlibrary.traverse.function.ConstraintTraverse,uses,fitlibrary.global.PlugBoard,503,5,38,0,32,0,0,29871
12,fitlibrary.traverse.function.CalculateTraverse,uses,fitlibrary.global.PlugBoard,474,5,39,0,33,0,0,22262
13,fitlibrary.traverse.workflow.DoTraverseInterpreter,uses,fitlibrary.global.PlugBoard,493,1,0,0,37,0,0,22230
14,fitlibrary.parser.ByStringParser,uses,fitlibrary.traverse.Traverse,124,0,163,0,66,0,0,61249
15,fitlibrary.DefineAction,uses,fitlibrary.traverse.workflow.caller.DefinedActionCaller,1343,10,61,0,13,0,0,16983
16,fitlibraryGeneric.set.SetParser2,uses,fitlibrary.collection.CollectionSetUpTraverse,230,6,140,0,56,0,0,17928
