iteration,source,type,target
0,fitlibrary.flow.GlobalActionScope,uses,fitlibrary.traverse.workflow.DoTraverse
0,fitlibrary.runtime.RuntimeContextInternal,uses,fitlibrary.flow.GlobalActionScope
0,fitlibrary.typed.NonGenericTyped,uses,fitlibrary.parser.lookup.ParserSelectorForType
0,fitlibrary.traverse.Evaluator,uses,fitlibrary.runtime.RuntimeContextInternal
0,fitlibrary.traverse.workflow.DoTraverse,uses,fitlibrary.typed.NonGenericTyped
0,fitlibrary.typed.TypedObject,uses,fitlibrary.runtime.RuntimeContextInternal
0,fitlibraryGeneric.typed.GenericTyped,uses,fitlibrary.parser.lookup.ParserSelectorForType
0,fitlibrary.parser.lookup.ParserSelectorForType,uses,fitlibraryGeneric.set.SetParser2
0,fitlibrary.parser.Parser,uses,fitlibrary.traverse.Evaluator
0,fitlibrary.traverse.Traverse,uses,fitlibrary.typed.NonGenericTyped
0,fitlibrary.utility.ClassUtility,uses,fitlibrary.flow.GlobalActionScope
0,fitlibrary.global.PlugBoard,uses,fitlibrary.closure.LookupClosureStandard
0,fitlibrary.global.PlugBoard,uses,fitlibrary.closure.LookupMethodTargetStandard
0,fitlibrary.traverse.workflow.DoTraverseInterpreter,uses,fitlibrary.flow.DoAutoWrapper
0,fitlibrary.parser.lookup.ParserSelectorForType,uses,fitlibraryGeneric.list.ListParser2
0,fitlibrary.closure.LookupMethodTargetStandard,uses,fitlibraryGeneric.typed.GenericTypedObject
1,fitlibrary.runtime.RuntimeContextInternal,uses,fitlibrary.flow.GlobalActionScope
1,fitlibrary.flow.GlobalActionScope,uses,fitlibrary.traverse.workflow.DoTraverse
1,fitlibrary.typed.TypedObject,uses,fitlibrary.runtime.RuntimeContextInternal
1,fitlibrary.typed.NonGenericTyped,uses,fitlibrary.parser.lookup.ParserSelectorForType
1,fitlibrary.traverse.workflow.DoTraverse,uses,fitlibrary.typed.NonGenericTyped
1,fitlibrary.traverse.workflow.DoTraverseInterpreter,uses,fitlibrary.flow.DoAutoWrapper
1,fitlibrary.traverse.Evaluator,uses,fitlibrary.runtime.RuntimeContextInternal
1,fitlibraryGeneric.typed.GenericTyped,uses,fitlibrary.parser.lookup.ParserSelectorForType
1,fitlibrary.traverse.Traverse,uses,fitlibrary.typed.NonGenericTyped
1,fitlibrary.parser.Parser,uses,fitlibrary.typed.TypedObject
1,fitlibrary.global.PlugBoard,uses,fitlibrary.closure.LookupClosureStandard
1,fitlibrary.global.PlugBoard,uses,fitlibrary.closure.LookupMethodTargetStandard
1,fitlibrary.closure.LookupMethodTargetStandard,uses,fitlibraryGeneric.typed.GenericTypedObject
1,fitlibrary.parser.lookup.ParserSelectorForType,uses,fitlibraryGeneric.list.ListParser2
1,fitlibrary.flow.GlobalActionScope,uses,fitlibrary.traverse.workflow.RandomSelectTraverse
2,fitlibrary.flow.GlobalActionScope,uses,fitlibrary.traverse.workflow.DoTraverse
2,fitlibrary.runtime.RuntimeContextInternal,uses,fitlibrary.flow.GlobalActionScope
