iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
1,net.sf.freecol.common.Specification,uses,net.sf.freecol.FreeCol,240692,1,597,0,1,0,0,97531
2,net.sf.freecol.common.model.Player,uses,net.sf.freecol.FreeCol,79819,56,177,0,10,0,0,122104
3,net.sf.freecol.util.test.FreeColTestCase,uses,net.sf.freecol.FreeCol,71478,0,2,0,13,0,0,97603
4,net.sf.freecol.common.model.Goods,uses,net.sf.freecol.FreeCol,217478,1,319,0,1,0,0,94931
5,net.sf.freecol.common.model.Unit,uses,net.sf.freecol.FreeCol,46177,12,46,0,12,0,0,95358
6,net.sf.freecol.common.model.Game,uses,net.sf.freecol.FreeCol,74878,7,321,0,11,0,0,95864
7,net.sf.freecol.common.model.Colony,uses,net.sf.freecol.FreeCol,35409,5,94,0,18,0,0,98559
8,net.sf.freecol.common.model.Tile,uses,net.sf.freecol.FreeCol,31203,0,46,0,23,0,0,94538
9,net.sf.freecol.common.model.ModelMessage,uses,net.sf.freecol.FreeCol,46024,3,118,0,16,0,0,93935
10,net.sf.freecol.common.model.SimpleCombatModel,uses,net.sf.freecol.FreeCol,34707,1,98,0,18,0,0,94320
