iteration,source,type,target
0,freecs.Server,uses,freecs.auth.AuthManager
0,freecs.content.MessageState,uses,freecs.core.MessageParser
0,freecs.core.MessageParser,uses,freecs.commands.CommandSet
0,freecs.interfaces.IRequest,uses,freecs.core.ConnectionBuffer
1,freecs.Server,uses,freecs.core.RequestReader
1,freecs.Server,uses,freecs.auth.AuthManager
1,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
1,freecs.content.MessageState,uses,freecs.Server
1,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
1,freecs.interfaces.IRequest,uses,freecs.core.ConnectionBuffer
2,freecs.Server,uses,freecs.core.RequestReader
2,freecs.Server,uses,freecs.auth.AuthManager
3,freecs.Server,uses,freecs.core.RequestReader
3,freecs.Server,uses,freecs.auth.AuthManager
3,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
3,freecs.auth.AuthManager,uses,freecs.commands.AbstractCommand
3,freecs.content.MessageState,uses,freecs.Server
3,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
3,freecs.interfaces.IRequest,uses,freecs.core.ConnectionBuffer
3,freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager
3,freecs.core.ConnectionBuffer,uses,freecs.Server
3,freecs.content.MessageState,uses,freecs.core.MessageParser
3,freecs.core.MessageParser,uses,freecs.layout.TemplateSet
4,freecs.Server,uses,freecs.core.RequestReader
4,freecs.Server,uses,freecs.auth.AuthManager
4,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
4,freecs.auth.AuthManager,uses,freecs.commands.AbstractCommand
4,freecs.content.MessageState,uses,freecs.Server
4,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
4,freecs.core.User,uses,freecs.layout.TemplateSet
4,freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager
4,freecs.interfaces.IRequest,uses,freecs.core.ConnectionBuffer
4,freecs.core.RequestEvaluator,uses,freecs.external.StateRequestHandler
4,freecs.core.User,uses,freecs.auth.AuthManager
4,freecs.core.RequestEvaluator,uses,freecs.external.UserlistRequestHandler
4,freecs.interfaces.ICommand,uses,freecs.content.MessageState
4,freecs.core.Group,uses,freecs.Server
4,freecs.Server,uses,freecs.commands.CommandSet
5,freecs.Server,uses,freecs.core.RequestReader
5,freecs.Server,uses,freecs.auth.AuthManager
5,freecs.content.Connection,uses,freecs.Server
5,freecs.core.User,uses,freecs.layout.TemplateSet
5,freecs.core.MessageParser,uses,freecs.commands.AbstractCommand
5,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
5,freecs.content.MessageState,uses,freecs.Server
5,freecs.Server,uses,freecs.core.User
5,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
5,freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager
5,freecs.Server,uses,freecs.core.MessageParser
5,freecs.core.RequestEvaluator,uses,freecs.external.UserlistRequestHandler
5,freecs.core.User,uses,freecs.Server
5,freecs.interfaces.IRequest,uses,freecs.content.Connection
5,freecs.interfaces.ICommand,uses,freecs.content.MessageState
5,freecs.Server,uses,freecs.commands.CommandSet
5,freecs.core.RequestEvaluator,uses,freecs.external.StateRequestHandler
5,freecs.external.xmlrpc.freecsXmlRpcHandler,uses,freecs.external.AdminCore
5,freecs.layout.Template,uses,freecs.commands.AbstractCommand
6,freecs.Server,uses,freecs.core.RequestReader
6,freecs.Server,uses,freecs.auth.AuthManager
6,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
6,freecs.core.MessageParser,uses,freecs.commands.AbstractCommand
6,freecs.content.MessageState,uses,freecs.Server
6,freecs.core.User,uses,freecs.auth.AuthManager
6,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
6,freecs.interfaces.IRequest,uses,freecs.core.ConnectionBuffer
6,freecs.core.User,uses,freecs.layout.TemplateSet
6,freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager
6,freecs.Server,uses,freecs.core.UserManager
6,freecs.core.ConnectionBuffer,uses,freecs.Server
6,freecs.Server,uses,freecs.core.MessageParser
6,freecs.Server,uses,freecs.commands.CommandSet
6,freecs.content.Connection,uses,freecs.Server
6,freecs.core.RequestEvaluator,uses,freecs.external.UserlistRequestHandler
6,freecs.interfaces.ICommand,uses,freecs.content.MessageState
6,freecs.core.RequestEvaluator,uses,freecs.external.StateRequestHandler
6,freecs.auth.AuthManager,uses,freecs.core.RequestReader
6,freecs.layout.Template,uses,freecs.commands.AbstractCommand
6,freecs.auth.AuthManager,uses,freecs.commands.AbstractCommand
6,freecs.core.UserManager,uses,freecs.layout.TemplateSet
6,freecs.external.xmlrpc.freecsXmlRpcHandler,uses,freecs.external.AdminCore
6,freecs.util.ObjectBuffer,uses,freecs.Server
6,freecs.core.MessageParser,uses,freecs.commands.CommandSet
6,freecs.content.MessageState,uses,freecs.core.User
6,freecs.content.MessageState,uses,freecs.core.MessageParser
6,freecs.core.User,uses,freecs.Server
6,freecs.layout.Template,uses,freecs.commands.CommandSet
6,freecs.external.CmdConfirmHandler,uses,freecs.commands.CommandSet
6,freecs.core.ConnectionBuffer,uses,freecs.content.HTTPRequest
7,freecs.Server,uses,freecs.core.RequestReader
7,freecs.core.User,uses,freecs.auth.AuthManager
7,freecs.content.Connection,uses,freecs.Server
7,freecs.Server,uses,freecs.auth.AuthManager
7,freecs.core.User,uses,freecs.layout.TemplateSet
7,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
7,freecs.auth.AuthManager,uses,freecs.commands.AbstractCommand
7,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
7,freecs.Server,uses,freecs.core.User
7,freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager
7,freecs.content.MessageState,uses,freecs.core.User
7,freecs.core.RequestEvaluator,uses,freecs.external.UserlistRequestHandler
7,freecs.content.MessageState,uses,freecs.Server
7,freecs.interfaces.IRequest,uses,freecs.content.Connection
7,freecs.interfaces.ICommand,uses,freecs.content.MessageState
7,freecs.core.MessageParser,uses,freecs.commands.AbstractCommand
7,freecs.core.RequestEvaluator,uses,freecs.external.StateRequestHandler
7,freecs.Server,uses,freecs.commands.CommandSet
7,freecs.auth.AuthManager,uses,freecs.core.RequestReader
7,freecs.layout.Template,uses,freecs.commands.AbstractCommand
7,freecs.external.xmlrpc.freecsXmlRpcHandler,uses,freecs.external.AdminCore
7,freecs.util.ObjectBuffer,uses,freecs.Server
7,freecs.core.MessageParser,uses,freecs.commands.CommandSet
7,freecs.Server,uses,freecs.core.Group
7,freecs.layout.TemplateSet,uses,freecs.Server
7,freecs.content.MessageState,uses,freecs.core.MessageParser
7,freecs.core.User,uses,freecs.Server
7,freecs.layout.Template,uses,freecs.commands.CommandSet
7,freecs.core.ConnectionBuffer,uses,freecs.content.HTTPRequest
7,freecs.external.CmdConfirmHandler,uses,freecs.commands.CommandSet
8,freecs.Server,uses,freecs.core.RequestReader
8,freecs.content.Connection,uses,freecs.Server
8,freecs.Server,uses,freecs.auth.AuthManager
8,freecs.content.MessageState,uses,freecs.core.MessageParser
8,freecs.core.MessageParser,uses,freecs.commands.AbstractCommand
8,freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler
8,freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler
8,freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager
8,freecs.Server,uses,freecs.core.MessageParser
8,freecs.core.User,uses,freecs.layout.TemplateSet
8,freecs.core.RequestEvaluator,uses,freecs.external.UserlistRequestHandler
8,freecs.core.MessageParser,uses,freecs.layout.TemplateSet
8,freecs.interfaces.IRequest,uses,freecs.content.Connection
8,freecs.Server,uses,freecs.core.User
8,freecs.interfaces.ICommand,uses,freecs.content.MessageState
8,freecs.content.MessageState,uses,freecs.Server
8,freecs.core.RequestEvaluator,uses,freecs.external.StateRequestHandler
8,freecs.external.xmlrpc.freecsXmlRpcHandler,uses,freecs.external.AdminCore
8,freecs.Server,uses,freecs.commands.CommandSet
8,freecs.core.MessageParser,uses,freecs.commands.CommandSet
8,freecs.layout.Template,uses,freecs.commands.AbstractCommand
8,freecs.util.ObjectBuffer,uses,freecs.Server
8,freecs.Server,uses,freecs.content.MessageState
8,freecs.Server,uses,freecs.core.GroupManager
8,freecs.auth.AuthManager,uses,freecs.commands.AbstractCommand
8,freecs.core.User,uses,freecs.auth.AuthManager
8,freecs.layout.Template,uses,freecs.commands.CommandSet
8,freecs.layout.TemplateManager,uses,freecs.Server
8,freecs.core.ConnectionBuffer,uses,freecs.content.HTTPRequest
8,freecs.external.CmdConfirmHandler,uses,freecs.commands.CommandSet
8,freecs.layout.TemplateSet,uses,freecs.Server
8,freecs.util.TrafficMonitor,uses,freecs.Server
8,freecs.content.MessageState,uses,freecs.core.ConnectionBuffer
8,freecs.core.GroupManager,uses,freecs.interfaces.IGroupPlugin
8,freecs.interfaces.IGroupPlugin,uses,freecs.core.MessageParser
8,freecs.core.Group,uses,freecs.Server
9,freecs.Server,uses,freecs.core.RequestReader
