iteration,source,type,target
0,org.jext.JextFrame,uses,org.jext.menus.JextRecentMenu
0,org.jext.event.JextEvent,uses,org.jext.JextFrame
0,org.jext.JextFrame,uses,org.jext.misc.FindAccessory
0,org.jext.JextFrame,uses,org.jext.misc.Workspaces
0,org.jext.JextFrame,uses,org.jext.misc.AutoSave
0,org.jext.JextFrame,uses,org.gjt.sp.jedit.textarea.InputHandler
0,org.jext.Jext,uses,org.gjt.sp.jedit.textarea.DefaultInputHandler
0,org.jext.Jext,uses,org.jext.misc.VersionCheck
0,org.jext.JextFrame,uses,org.jext.misc.VirtualFolders
0,org.jext.menus.JextRecentMenu,uses,org.jext.Jext
0,org.jext.Plugin,uses,org.jext.options.OptionsDialog
1,org.jext.Plugin,uses,org.jext.options.OptionsDialog
1,org.jext.JextFrame,uses,org.jext.console.Console
1,org.gjt.sp.jedit.textarea.JEditTextArea,uses,org.jext.JextFrame
1,org.jext.JextFrame,uses,org.jext.project.DefaultProjectManagement
1,org.jext.JextTextArea,uses,org.jext.misc.Workspaces
1,org.jext.Jext,uses,org.jext.actions.CompleteWordAll
1,org.jext.JextFrame,uses,org.jext.toolbar.JextToolBar
1,org.jext.event.JextEvent,uses,org.jext.JextTextArea
1,org.jext.event.JextEvent,uses,org.jext.JextFrame
1,org.jext.JextFrame,uses,org.jext.xinsert.XTree
1,org.jext.Jext,uses,org.jext.actions.Print
1,org.jext.Jext,uses,org.jext.scripting.python.Run
2,org.jext.Plugin,uses,org.jext.options.OptionsDialog
2,org.jext.JextFrame,uses,org.jext.console.Console
2,org.jext.JextFrame,uses,org.jext.project.DefaultProjectManagement
2,org.jext.Jext,uses,org.jext.actions.CompleteWord
2,org.jext.JextTextArea,uses,org.jext.misc.Workspaces
2,org.jext.JextFrame,uses,org.jext.toolbar.JextToolBar
2,org.jext.JextFrame,uses,org.jext.misc.VirtualFolders
2,org.jext.event.JextEvent,uses,org.jext.JextTextArea
2,org.jext.JextFrame,uses,org.jext.xinsert.XTree
2,org.jext.event.JextEvent,uses,org.jext.JextFrame
