iteration,source,type,target
0,org.jhotdraw.draw.DrawingView,uses,org.jhotdraw.draw.handle.Handle
0,org.jhotdraw.draw.BezierFigure,uses,org.jhotdraw.draw.handle.TransformHandleKit
0,org.jhotdraw.draw.Figure,uses,org.jhotdraw.draw.tool.Tool
0,org.jhotdraw.draw.event.FigureEvent,uses,org.jhotdraw.draw.Figure
0,org.jhotdraw.draw.AbstractFigure,uses,org.jhotdraw.draw.handle.ResizeHandleKit
0,org.jhotdraw.draw.handle.BezierNodeHandle,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.handle.BezierOutlineHandle,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.BezierFigure,uses,org.jhotdraw.draw.handle.BezierNodeHandle
0,org.jhotdraw.draw.CompositeFigure,uses,org.jhotdraw.draw.event.CompositeFigureListener
0,org.jhotdraw.draw.event.CompositeFigureEvent,uses,org.jhotdraw.draw.Figure
0,org.jhotdraw.draw.event.HandleEvent,uses,org.jhotdraw.draw.handle.Handle
0,org.jhotdraw.draw.tool.Tool,uses,org.jhotdraw.draw.event.ToolListener
0,org.jhotdraw.draw.connector.Connector,uses,org.jhotdraw.draw.Figure
0,org.jhotdraw.draw.tool.Tool,uses,org.jhotdraw.draw.DrawingView
0,org.jhotdraw.draw.handle.Handle,uses,org.jhotdraw.draw.event.HandleListener
0,org.jhotdraw.draw.Figure,uses,org.jhotdraw.draw.connector.Connector
0,org.jhotdraw.draw.BezierFigure,uses,org.jhotdraw.draw.connector.ChopBezierConnector
0,org.jhotdraw.draw.Figure,uses,org.jhotdraw.draw.event.FigureListener
0,org.jhotdraw.draw.BezierFigure,uses,org.jhotdraw.draw.handle.BezierOutlineHandle
0,org.jhotdraw.draw.BezierFigure,uses,org.jhotdraw.draw.handle.BezierScaleHandle
0,org.jhotdraw.draw.layouter.Layouter,uses,org.jhotdraw.draw.CompositeFigure
0,org.jhotdraw.draw.handle.Handle,uses,org.jhotdraw.draw.Figure
0,org.jhotdraw.draw.event.ToolEvent,uses,org.jhotdraw.draw.DrawingView
0,org.jhotdraw.draw.DrawingView,uses,org.jhotdraw.draw.event.FigureSelectionListener
0,org.jhotdraw.draw.DrawingEditor,uses,org.jhotdraw.draw.tool.Tool
0,org.jhotdraw.draw.handle.Handle,uses,org.jhotdraw.draw.DrawingView
0,org.jhotdraw.draw.event.FigureSelectionEvent,uses,org.jhotdraw.draw.DrawingView
0,org.jhotdraw.draw.liner.Liner,uses,org.jhotdraw.draw.ConnectionFigure
0,org.jhotdraw.draw.io.InputFormat,uses,org.jhotdraw.draw.Drawing
0,org.jhotdraw.draw.io.OutputFormat,uses,org.jhotdraw.draw.Drawing
0,org.jhotdraw.draw.Drawing,uses,org.jhotdraw.draw.io.OutputFormat
0,org.jhotdraw.draw.Drawing,uses,org.jhotdraw.draw.io.InputFormat
0,org.jhotdraw.draw.CompositeFigure,uses,org.jhotdraw.draw.layouter.Layouter
0,org.jhotdraw.draw.event.CompositeFigureEvent,uses,org.jhotdraw.draw.CompositeFigure
0,org.jhotdraw.draw.connector.Connector,uses,org.jhotdraw.draw.ConnectionFigure
0,org.jhotdraw.draw.LineConnectionFigure,uses,org.jhotdraw.draw.handle.ConnectionEndHandle
0,org.jhotdraw.draw.LineConnectionFigure,uses,org.jhotdraw.draw.handle.ConnectionStartHandle
0,org.jhotdraw.draw.LineFigure,uses,org.jhotdraw.draw.handle.BezierNodeHandle
0,org.jhotdraw.draw.event.FigureEvent,uses,org.jhotdraw.draw.AttributeKey
0,org.jhotdraw.draw.tool.Tool,uses,org.jhotdraw.draw.DrawingEditor
0,org.jhotdraw.draw.handle.BezierScaleHandle,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.LineConnectionFigure,uses,org.jhotdraw.draw.handle.BezierNodeHandle
0,org.jhotdraw.draw.LineConnectionFigure,uses,org.jhotdraw.draw.handle.BezierOutlineHandle
0,org.jhotdraw.draw.LineFigure,uses,org.jhotdraw.draw.handle.BezierOutlineHandle
0,org.jhotdraw.samples.svg.action.ViewSourceAction,uses,org.jhotdraw.samples.svg.SVGView
0,org.jhotdraw.draw.ConnectionFigure,uses,org.jhotdraw.draw.liner.Liner
0,org.jhotdraw.draw.event.ToolEvent,uses,org.jhotdraw.draw.tool.Tool
0,org.jhotdraw.draw.connector.ChopBezierConnector,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.handle.ConnectionEndHandle,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.handle.AbstractConnectionHandle,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.TriangleFigure,uses,org.jhotdraw.draw.handle.OrientationHandle
0,org.jhotdraw.draw.AbstractFigure,uses,org.jhotdraw.draw.handle.BoundsOutlineHandle
0,org.jhotdraw.draw.locator.Locator,uses,org.jhotdraw.draw.Figure
0,org.jhotdraw.draw.event.SetBoundsEdit,uses,org.jhotdraw.draw.AbstractFigure
0,org.jhotdraw.draw.RoundRectangleFigure,uses,org.jhotdraw.draw.handle.RoundRectangleRadiusHandle
0,org.jhotdraw.draw.RoundRectangleFigure,uses,org.jhotdraw.draw.connector.ChopRoundRectangleConnector
0,org.jhotdraw.samples.svg.SVGDrawingPanel,uses,org.jhotdraw.samples.svg.gui.ToolsToolBar
0,org.jhotdraw.draw.TriangleFigure,uses,org.jhotdraw.draw.connector.ChopTriangleConnector
0,org.jhotdraw.draw.AbstractFigure,uses,org.jhotdraw.draw.event.SetBoundsEdit
0,org.jhotdraw.draw.locator.RelativeLocator,uses,org.jhotdraw.draw.Figure
0,org.jhotdraw.draw.event.BezierNodeEdit,uses,org.jhotdraw.draw.BezierFigure
0,org.jhotdraw.draw.handle.AbstractHandle,uses,org.jhotdraw.draw.Drawing
0,org.jhotdraw.draw.DiamondFigure,uses,org.jhotdraw.draw.connector.ChopDiamondConnector
0,org.jhotdraw.draw.decoration.LineDecoration,uses,org.jhotdraw.draw.Figure
