iteration,source,type,target
0,jparse.expr.VarAST,uses,jparse.Type
0,jparse.VarList,uses,jparse.expr.VarAST
0,jparse.expr.TypeAST,uses,jparse.Type
0,jparse.CompileContext,uses,jparse.expr.TypeAST
0,jparse.stmt.StatementAST,uses,jparse.Type
0,jparse.JavaParser,uses,jparse.expr.NewAST
0,jparse.JavaParser,uses,jparse.stmt.ForAST
0,jparse.JavaParser,uses,jparse.stmt.DeclarationAST
0,jparse.JavaParser,uses,jparse.stmt.CatchAST
0,jparse.JavaParser,uses,jparse.stmt.SwitchAST
0,jparse.JavaParser,uses,jparse.expr.MethodCallAST
0,jparse.JavaParser,uses,jparse.stmt.ContinueAST
0,jparse.JavaParser,uses,jparse.stmt.DoWhileAST
0,jparse.JavaParser,uses,jparse.stmt.BreakAST
0,jparse.JavaParser,uses,jparse.stmt.WhileAST
0,jparse.JavaParser,uses,jparse.expr.ArithmeticAST
0,jparse.JavaParser,uses,jparse.expr.UnaryArithAST
0,jparse.JavaParser,uses,jparse.expr.TypecastAST
0,jparse.expr.IdentifierAST,uses,jparse.Type
0,jparse.expr.ExpressionAST,uses,jparse.Type
0,jparse.stmt.CompoundAST,uses,jparse.Type
0,jparse.JavaParser,uses,jparse.expr.IdentifierAST
0,jparse.JavaParser,uses,jparse.stmt.ReturnAST
0,jparse.JavaParser,uses,jparse.stmt.ExpressionAST
0,jparse.JavaParser,uses,jparse.expr.BitwiseAST
0,jparse.JavaParser,uses,jparse.expr.ShiftAST
0,jparse.JavaParser,uses,jparse.expr.BooleanAST
0,jparse.JavaParser,uses,jparse.expr.FloatLiteralAST
0,jparse.JavaParser,uses,jparse.expr.NumLiteralAST
0,jparse.JavaParser,uses,jparse.expr.AssignAST
0,jparse.JavaParser,uses,jparse.expr.ArrayInitAST
0,jparse.JavaParser,uses,jparse.stmt.ClassAST
0,jparse.TypeAST,uses,jparse.stmt.StatementAST
0,jparse.JavaParser,uses,jparse.stmt.AssertAST
0,jparse.JavaParser,uses,jparse.stmt.ThrowAST
0,jparse.JavaParser,uses,jparse.stmt.IfElseAST
0,jparse.JavaParser,uses,jparse.stmt.SynchronizedAST
0,jparse.JavaParser,uses,jparse.expr.ThisLiteralAST
0,jparse.JavaParser,uses,jparse.expr.StringLiteralAST
0,jparse.JavaParser,uses,jparse.expr.IndexAST
0,jparse.JavaParser,uses,jparse.expr.BooleanLiteralAST
0,jparse.JavaParser,uses,jparse.expr.ParenthesizedAST
0,jparse.JavaParser,uses,jparse.expr.CharLiteralAST
0,jparse.JavaParser,uses,jparse.stmt.CompoundAST
0,jparse.JavaParser,uses,jparse.expr.ListAST
0,jparse.JavaParser,uses,jparse.stmt.TryAST
0,jparse.JavaParser,uses,jparse.stmt.LabelAST
0,jparse.JavaParser,uses,jparse.stmt.EmptyAST
0,jparse.JavaParser,uses,jparse.stmt.CaseGroupAST
0,jparse.JavaParser,uses,jparse.expr.ConditionalAST
0,jparse.JavaParser,uses,jparse.expr.NullLiteralAST
0,jparse.JavaParser,uses,jparse.expr.TypeAST
0,jparse.JavaParser,uses,jparse.expr.InitializerAST
0,jparse.JavaParser,uses,jparse.expr.ExpressionAST
0,jparse.CompileContext,uses,jparse.stmt.StatementAST
0,jparse.expr.ListAST,uses,jparse.Type
0,jparse.expr.IdentifierAST,uses,jparse.TypeAST
0,jparse.ConstrAST,uses,jparse.stmt.CompoundAST
0,jparse.stmt.ForAST,uses,jparse.Type
0,jparse.expr.ConditionalAST,uses,jparse.Type
0,jparse.expr.NullLiteralAST,uses,jparse.Type
0,jparse.expr.InitializerAST,uses,jparse.Type
0,jparse.expr.ParenthesizedAST,uses,jparse.Type
0,jparse.expr.IndexAST,uses,jparse.Type
0,jparse.expr.BooleanLiteralAST,uses,jparse.Type
0,jparse.expr.CharLiteralAST,uses,jparse.Type
0,jparse.expr.VarAST,uses,jparse.SymbolTable
0,jparse.expr.StringLiteralAST,uses,jparse.Type
0,jparse.SymbolTable,uses,jparse.stmt.StatementAST
0,jparse.expr.BooleanAST,uses,jparse.Type
0,jparse.expr.AssignAST,uses,jparse.Type
0,jparse.expr.ShiftAST,uses,jparse.Type
0,jparse.expr.BitwiseAST,uses,jparse.Type
0,jparse.ConstrAST,uses,jparse.stmt.StatementAST
0,jparse.MethAST,uses,jparse.stmt.StatementAST
0,jparse.ConstrAST,uses,jparse.expr.IdentifierAST
0,jparse.expr.NumLiteralAST,uses,jparse.Type
0,jparse.expr.FloatLiteralAST,uses,jparse.Type
0,jparse.stmt.AssertAST,uses,jparse.Type
0,jparse.expr.ArithmeticAST,uses,jparse.Type
0,jparse.stmt.ThrowAST,uses,jparse.Type
0,jparse.expr.UnaryArithAST,uses,jparse.Type
0,jparse.stmt.IfElseAST,uses,jparse.Type
0,jparse.stmt.ExpressionAST,uses,jparse.Type
0,jparse.stmt.ReturnAST,uses,jparse.Type
0,jparse.JavaParser,uses,jparse.expr.VarAST
0,jparse.MethAST,uses,jparse.expr.IdentifierAST
0,jparse.stmt.SynchronizedAST,uses,jparse.Type
0,jparse.SymbolTable,uses,jparse.expr.VarAST
0,jparse.SourceType,uses,jparse.expr.VarAST
0,jparse.ParameterAST,uses,jparse.expr.VarAST
0,jparse.ConstrAST,uses,jparse.expr.VarAST
0,jparse.MethAST,uses,jparse.expr.TypeAST
0,jparse.MethAST,uses,jparse.expr.VarAST
0,jparse.ParameterAST,uses,jparse.expr.TypeAST
0,jparse.expr.ArrayInitAST,uses,jparse.Type
0,jparse.expr.TypecastAST,uses,jparse.Type
0,jparse.stmt.DoWhileAST,uses,jparse.Type
0,jparse.stmt.WhileAST,uses,jparse.Type
0,jparse.stmt.SwitchAST,uses,jparse.Type
0,jparse.MethAST,uses,jparse.stmt.CompoundAST
