iteration,source,type,target
0,org.apache.lucene.index.DirectoryReader,uses,org.apache.lucene.search.FieldCache
0,org.apache.lucene.util.LuceneTestCase,uses,org.apache.lucene.search.FieldCache
1,org.apache.lucene.index.DirectoryReader,uses,org.apache.lucene.search.FieldCache
1,org.apache.lucene.util.LuceneTestCase,uses,org.apache.lucene.search.FieldCache
1,org.apache.lucene.util.LuceneTestCase,uses,org.apache.lucene.index.ConcurrentMergeScheduler
1,org.apache.lucene.index.DocumentsWriter,uses,org.apache.lucene.search.IndexSearcher
1,org.apache.lucene.search.FieldCache,uses,org.apache.lucene.index.IndexReader
1,org.apache.lucene.search.Query,uses,org.apache.lucene.index.IndexReader
2,org.apache.lucene.index.DirectoryReader,uses,org.apache.lucene.search.FieldCache
2,org.apache.lucene.util.LuceneTestCase,uses,org.apache.lucene.index.ConcurrentMergeScheduler
2,org.apache.lucene.index.DocumentsWriter,uses,org.apache.lucene.search.IndexSearcher
2,org.apache.lucene.util.LuceneTestCase,uses,org.apache.lucene.search.FieldCache
2,org.apache.lucene.search.Query,uses,org.apache.lucene.index.IndexReader
2,org.apache.lucene.util._TestUtil,uses,org.apache.lucene.index.IndexWriter
2,org.apache.lucene.index.IndexWriter,uses,org.apache.lucene.search.Query
2,org.apache.lucene.search.FieldCache,uses,org.apache.lucene.index.IndexReader
2,org.apache.lucene.search.Filter,uses,org.apache.lucene.index.IndexReader
2,org.apache.lucene.document.Field,uses,org.apache.lucene.analysis.TokenStream
2,org.apache.lucene.search.Filter,uses,org.apache.lucene.util.DocIdBitSet
