iteration,source,type,target
0,org.cyberneko.html.HTMLConfiguration,uses,org.cyberneko.html.filters.NamespaceBinder
0,org.cyberneko.html.DOMFragmentParserTest,uses,org.cyberneko.html.parsers.DOMFragmentParser
0,org.cyberneko.html.FragmentContextStackTest,uses,org.cyberneko.html.parsers.DOMParser
0,org.cyberneko.html.parsers.DOMParser,uses,org.cyberneko.html.HTMLConfiguration
0,org.cyberneko.html.parsers.DOMFragmentParser,uses,org.cyberneko.html.HTMLConfiguration
1,org.cyberneko.html.HTMLConfiguration,uses,org.cyberneko.html.filters.NamespaceBinder
1,org.cyberneko.html.parsers.DOMFragmentParser,uses,org.cyberneko.html.HTMLConfiguration
1,org.cyberneko.html.DOMFragmentParserTest,uses,org.cyberneko.html.parsers.DOMFragmentParser
1,org.cyberneko.html.parsers.DOMParser,uses,org.cyberneko.html.HTMLConfiguration
1,org.cyberneko.html.FragmentContextStackTest,uses,org.cyberneko.html.parsers.DOMParser
1,org.cyberneko.html.filters.NamespaceBinder,uses,org.cyberneko.html.HTMLElements
