iteration,source,type,target
0,org.picocontainer.Parameter,uses,org.picocontainer.parameters.ComponentParameter
1,org.picocontainer.Parameter,uses,org.picocontainer.parameters.ComponentParameter
1,org.picocontainer.behaviors.AbstractBehaviorFactory,uses,org.picocontainer.injectors.AdaptingInjection
1,org.picocontainer.Emjection,uses,org.picocontainer.containers.TransientPicoContainer
2,org.picocontainer.Parameter,uses,org.picocontainer.parameters.ComponentParameter
2,org.picocontainer.behaviors.AbstractBehaviorFactory,uses,org.picocontainer.injectors.AdaptingInjection
2,org.picocontainer.Emjection,uses,org.picocontainer.containers.TransientPicoContainer
2,org.picocontainer.injectors.ConstructorInjector,uses,org.picocontainer.Emjection
2,org.picocontainer.DefaultPicoContainer,uses,org.picocontainer.behaviors.AdaptingBehavior
2,org.picocontainer.parameters.BasicComponentParameter$1,uses,org.picocontainer.DefaultPicoContainer$LateInstance
2,org.picocontainer.Parameter,uses,org.picocontainer.parameters.DefaultConstructorParameter
3,org.picocontainer.Parameter,uses,org.picocontainer.parameters.ComponentParameter
3,org.picocontainer.behaviors.AbstractBehaviorFactory,uses,org.picocontainer.injectors.AdaptingInjection
3,org.picocontainer.Emjection,uses,org.picocontainer.containers.TransientPicoContainer
3,org.picocontainer.injectors.ConstructorInjector,uses,org.picocontainer.Emjection
3,org.picocontainer.DefaultPicoContainer,uses,org.picocontainer.behaviors.AdaptingBehavior
3,org.picocontainer.parameters.BasicComponentParameter$1,uses,org.picocontainer.DefaultPicoContainer$LateInstance
3,org.picocontainer.containers.TransientPicoContainer,uses,org.picocontainer.behaviors.Caching
3,org.picocontainer.Parameter,uses,org.picocontainer.parameters.DefaultConstructorParameter
3,org.picocontainer.Emjection,uses,org.picocontainer.injectors.ConstructorInjection
4,org.picocontainer.Parameter,uses,org.picocontainer.parameters.ComponentParameter
4,org.picocontainer.behaviors.AbstractBehaviorFactory,uses,org.picocontainer.injectors.AdaptingInjection
4,org.picocontainer.Emjection,uses,org.picocontainer.containers.TransientPicoContainer
4,org.picocontainer.injectors.ConstructorInjector,uses,org.picocontainer.Emjection
4,org.picocontainer.DefaultPicoContainer,uses,org.picocontainer.behaviors.AdaptingBehavior
4,org.picocontainer.parameters.BasicComponentParameter$1,uses,org.picocontainer.DefaultPicoContainer$LateInstance
4,org.picocontainer.Parameter,uses,org.picocontainer.parameters.DefaultConstructorParameter
4,org.picocontainer.behaviors.AdaptingBehavior,uses,org.picocontainer.injectors.AdaptingInjection
4,org.picocontainer.Emjection,uses,org.picocontainer.injectors.ConstructorInjection
4,org.picocontainer.PicoBuilder,uses,org.picocontainer.injectors.CompositeInjection
4,org.picocontainer.PicoBuilder,uses,org.picocontainer.injectors.MethodInjection
4,org.picocontainer.containers.TransientPicoContainer,uses,org.picocontainer.behaviors.Caching
5,org.picocontainer.Parameter,uses,org.picocontainer.parameters.ComponentParameter
5,org.picocontainer.behaviors.AbstractBehaviorFactory,uses,org.picocontainer.injectors.AdaptingInjection
5,org.picocontainer.Emjection,uses,org.picocontainer.containers.TransientPicoContainer
5,org.picocontainer.injectors.ConstructorInjector,uses,org.picocontainer.Emjection
5,org.picocontainer.DefaultPicoContainer,uses,org.picocontainer.behaviors.AdaptingBehavior
5,org.picocontainer.parameters.BasicComponentParameter$1,uses,org.picocontainer.DefaultPicoContainer$LateInstance
5,org.picocontainer.Parameter,uses,org.picocontainer.parameters.DefaultConstructorParameter
5,org.picocontainer.behaviors.AdaptingBehavior,uses,org.picocontainer.injectors.AdaptingInjection
5,org.picocontainer.Emjection,uses,org.picocontainer.injectors.ConstructorInjection
5,org.picocontainer.containers.TransientPicoContainer,uses,org.picocontainer.behaviors.Caching
5,org.picocontainer.PicoBuilder,uses,org.picocontainer.injectors.CompositeInjection
