iteration,source,type,target
0,org.apache.poi.hssf.usermodel.HSSFFormulaEvaluator,uses,org.apache.poi.ss.formula.WorkbookEvaluator
0,org.apache.poi.hssf.record.CFRuleRecord,uses,org.apache.poi.hssf.usermodel.HSSFSheet
0,org.apache.poi.ss.formula.OperationEvaluatorFactory,uses,org.apache.poi.hssf.record.formula.eval.FunctionEval
0,org.apache.poi.hssf.usermodel.HSSFSheet,uses,org.apache.poi.hssf.record.EscherAggregate
0,org.apache.poi.hssf.usermodel.HSSFSheet,uses,org.apache.poi.hssf.model.Sheet
0,org.apache.poi.hssf.record.EscherAggregate,uses,org.apache.poi.hssf.model.AbstractShape
0,org.apache.poi.hssf.HSSFTestDataSamples,uses,org.apache.poi.hssf.usermodel.HSSFWorkbook
0,org.apache.poi.hssf.record.CFRuleRecord,uses,org.apache.poi.hssf.usermodel.HSSFWorkbook
1,org.apache.poi.hssf.usermodel.HSSFFormulaEvaluator,uses,org.apache.poi.ss.formula.WorkbookEvaluator
1,org.apache.poi.ss.formula.OperationEvaluatorFactory,uses,org.apache.poi.hssf.record.formula.eval.FunctionEval
1,org.apache.poi.hssf.record.CFRuleRecord,uses,org.apache.poi.hssf.usermodel.HSSFSheet
1,org.apache.poi.hssf.record.CFRuleRecord,uses,org.apache.poi.hssf.usermodel.HSSFWorkbook
1,org.apache.poi.hssf.usermodel.HSSFWorkbook,uses,org.apache.poi.hssf.model.Sheet
1,org.apache.poi.hssf.usermodel.HSSFSheet,uses,org.apache.poi.hssf.record.EscherAggregate
1,org.apache.poi.hssf.record.EscherAggregate,uses,org.apache.poi.hssf.model.AbstractShape
1,org.apache.poi.hssf.HSSFTestDataSamples,uses,org.apache.poi.hssf.usermodel.HSSFWorkbook
1,org.apache.poi.hssf.model.HSSFFormulaParser,uses,org.apache.poi.ss.formula.FormulaParser
1,org.apache.poi.hssf.model.Sheet,uses,org.apache.poi.hssf.record.EscherAggregate
1,org.apache.poi.hssf.usermodel.HSSFWorkbook,uses,org.apache.poi.hssf.model.Workbook
2,org.apache.poi.hssf.usermodel.HSSFFormulaEvaluator,uses,org.apache.poi.ss.formula.WorkbookEvaluator
2,org.apache.poi.hssf.record.CFRuleRecord,uses,org.apache.poi.hssf.usermodel.HSSFSheet
2,org.apache.poi.ss.formula.OperationEvaluatorFactory,uses,org.apache.poi.hssf.record.formula.eval.FunctionEval
2,org.apache.poi.hssf.usermodel.HSSFSheet,uses,org.apache.poi.hssf.record.EscherAggregate
2,org.apache.poi.hssf.usermodel.HSSFSheet,uses,org.apache.poi.hssf.model.Sheet
2,org.apache.poi.hssf.record.EscherAggregate,uses,org.apache.poi.hssf.model.AbstractShape
2,org.apache.poi.hssf.HSSFTestDataSamples,uses,org.apache.poi.hssf.usermodel.HSSFWorkbook
2,org.apache.poi.hssf.usermodel.HSSFWorkbook,uses,org.apache.poi.hssf.model.Sheet
2,org.apache.poi.hssf.record.CFRuleRecord,uses,org.apache.poi.hssf.usermodel.HSSFWorkbook
2,org.apache.poi.hssf.model.Sheet,uses,org.apache.poi.hssf.record.EscherAggregate
