iteration,source,type,target
0,proguard.classfile.ProgramClass,uses,proguard.classfile.visitor.ClassPrinter
0,proguard.classfile.visitor.MemberVisitor,uses,proguard.classfile.ProgramClass
0,proguard.classfile.Clazz,uses,proguard.classfile.visitor.MemberVisitor
0,proguard.classfile.Clazz,uses,proguard.classfile.attribute.visitor.AttributeVisitor
0,proguard.classfile.Member,uses,proguard.classfile.visitor.MemberVisitor
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.ExceptionsAttribute
0,proguard.classfile.attribute.ExceptionsAttribute,uses,proguard.classfile.ProgramClass
0,proguard.classfile.visitor.ClassVisitor,uses,proguard.classfile.ProgramClass
0,proguard.classfile.visitor.MemberVisitor,uses,proguard.classfile.ProgramMethod
0,proguard.classfile.attribute.CodeAttribute,uses,proguard.classfile.attribute.visitor.AttributeVisitor
0,proguard.classfile.attribute.Attribute,uses,proguard.classfile.attribute.visitor.AttributeVisitor
0,proguard.classfile.Clazz,uses,proguard.classfile.constant.visitor.ConstantVisitor
0,proguard.classfile.constant.visitor.ConstantVisitor,uses,proguard.classfile.Clazz
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.preverification.StackMapAttribute
0,proguard.classfile.LibraryClass,uses,proguard.classfile.attribute.visitor.AttributeVisitor
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.annotation.AnnotationDefaultAttribute
0,proguard.classfile.ProgramMethod,uses,proguard.classfile.attribute.visitor.AttributeVisitor
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.EnclosingMethodAttribute
0,proguard.classfile.visitor.ClassVisitor,uses,proguard.classfile.LibraryClass
0,proguard.classfile.LibraryClass,uses,proguard.classfile.visitor.MemberVisitor
0,proguard.classfile.visitor.MemberVisitor,uses,proguard.classfile.LibraryField
0,proguard.classfile.visitor.MemberVisitor,uses,proguard.classfile.LibraryClass
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.CodeAttribute
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.annotation.RuntimeVisibleParameterAnnotationsAttribute
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.LocalVariableTableAttribute
0,proguard.classfile.attribute.visitor.AttributeVisitor,uses,proguard.classfile.attribute.LocalVariableTypeTableAttribute
0,proguard.classfile.visitor.MemberVisitor,uses,proguard.classfile.ProgramField
0,proguard.classfile.constant.visitor.ConstantVisitor,uses,proguard.classfile.constant.MethodrefConstant
0,proguard.classfile.LibraryMethod,uses,proguard.classfile.visitor.MemberVisitor
0,proguard.classfile.ProgramClass,uses,proguard.classfile.visitor.MemberVisitor
0,proguard.classfile.visitor.MemberVisitor,uses,proguard.classfile.LibraryMethod
