iteration,source,type,target
0,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.SCParser
0,org.sunflow.core.Instance,uses,org.sunflow.SunflowAPI
0,org.sunflow.core.RenderObject,uses,org.sunflow.SunflowAPI
0,org.sunflow.core.Options,uses,org.sunflow.SunflowAPI
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.SCParser
1,org.sunflow.core.RenderObject,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.Options,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.Geometry,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.Instance,uses,org.sunflow.SunflowAPI
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.RA2Parser
1,org.sunflow.core.accel.NullAccelerator,uses,org.sunflow.core.PrimitiveList
1,org.sunflow.core.ShadingState,uses,org.sunflow.core.primitive.TriangleMesh
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.tesselatable.BezierMesh
1,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.IrradianceCacheGIEngine
1,org.sunflow.core.Camera,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.InstantGI
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.renderer.BucketRenderer
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.ShaveRibParser
1,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.PathTracingGIEngine
1,org.sunflow.core.SceneParser,uses,org.sunflow.SunflowAPI
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.Scene
1,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.AmbientOcclusionGIEngine
1,org.sunflow.core.primitive.TriangleMesh,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.FakeGIEngine
1,org.sunflow.core.LightServer,uses,org.sunflow.core.photonmap.CausticPhotonMap
1,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.BoundingIntervalHierarchy
1,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.KDTree
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.TriangleMeshLight
1,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.UniformGrid
1,org.sunflow.core.InstanceList,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.Geometry,uses,org.sunflow.core.accel.NullAccelerator
1,org.sunflow.core.accel.UniformGrid,uses,org.sunflow.core.PrimitiveList
1,org.sunflow.core.accel.BoundingIntervalHierarchy,uses,org.sunflow.core.PrimitiveList
1,org.sunflow.core.accel.KDTree,uses,org.sunflow.core.PrimitiveList
1,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.NullAccelerator
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.RA3Parser
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.TriParser
1,org.sunflow.core.parser.ShaveRibParser,uses,org.sunflow.core.primitive.Hair
1,org.sunflow.core.gi.PathTracingGIEngine,uses,org.sunflow.core.Options
1,org.sunflow.core.gi.IrradianceCacheGIEngine,uses,org.sunflow.core.Options
1,org.sunflow.core.gi.InstantGI,uses,org.sunflow.core.Options
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.CornellBox
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.ImageBasedLight
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.SphereLight
1,org.sunflow.core.tesselatable.BezierMesh,uses,org.sunflow.core.primitive.QuadMesh
1,org.sunflow.core.gi.FakeGIEngine,uses,org.sunflow.core.Options
1,org.sunflow.core.gi.AmbientOcclusionGIEngine,uses,org.sunflow.core.Options
1,org.sunflow.core.photonmap.CausticPhotonMap,uses,org.sunflow.core.Options
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.ParticleSurface
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.BanchoffSurface
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.JuliaFractal
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.Torus
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.Plane
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.Sphere
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.SunSkyLight
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.Background
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.UberShader
1,org.sunflow.core.parser.RA2Parser,uses,org.sunflow.core.primitive.TriangleMesh
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.AnisotropicWardShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.IDShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.tesselatable.FileMesh
1,org.sunflow.core.tesselatable.BezierMesh,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.TexturedPhongShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.TexturedWardShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.TexturedAmbientOcclusionShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.TexturedDiffuseShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.TexturedShinyDiffuseShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.ViewCausticsShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.PhongShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.MirrorShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.GlassShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.ShinyDiffuseShader
1,org.sunflow.core.parser.RA2Parser,uses,org.sunflow.core.shader.SimpleShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.DiffuseShader
1,org.sunflow.core.camera.PinholeLens,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.ViewGlobalPhotonsShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.ConstantShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.ViewIrradianceShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.shader.AmbientOcclusionShader
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.PointLight
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.renderer.ProgressiveRenderer
1,org.sunflow.SunflowAPI,uses,org.sunflow.core.renderer.SimpleRenderer
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.DirectionalSpotlight
1,org.sunflow.core.shader.DiffuseShader,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.modifiers.BumpMappingModifier
1,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.modifiers.NormalMapModifier
1,org.sunflow.core.shader.MirrorShader,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.primitive.Sphere,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.primitive.Plane,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.parser.RA2Parser,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.parser.TriParser,uses,org.sunflow.SunflowAPI
1,org.sunflow.core.parser.RA3Parser,uses,org.sunflow.SunflowAPI
2,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.SCParser
2,org.sunflow.core.RenderObject,uses,org.sunflow.SunflowAPI
2,org.sunflow.core.Options,uses,org.sunflow.SunflowAPI
2,org.sunflow.core.Instance,uses,org.sunflow.SunflowAPI
2,org.sunflow.core.Camera,uses,org.sunflow.SunflowAPI
2,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.RA2Parser
2,org.sunflow.core.ShadingState,uses,org.sunflow.core.primitive.TriangleMesh
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.tesselatable.BezierMesh
2,org.sunflow.core.accel.NullAccelerator,uses,org.sunflow.core.IntersectionState
2,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.IrradianceCacheGIEngine
2,org.sunflow.core.Geometry,uses,org.sunflow.SunflowAPI
2,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.InstantGI
2,org.sunflow.SunflowAPI,uses,org.sunflow.core.renderer.BucketRenderer
2,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.PathTracingGIEngine
2,org.sunflow.core.SceneParser,uses,org.sunflow.SunflowAPI
2,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.AmbientOcclusionGIEngine
2,org.sunflow.core.primitive.TriangleMesh,uses,org.sunflow.SunflowAPI
2,org.sunflow.core.LightServer,uses,org.sunflow.core.gi.FakeGIEngine
2,org.sunflow.core.LightServer,uses,org.sunflow.core.photonmap.CausticPhotonMap
2,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.BoundingIntervalHierarchy
2,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.KDTree
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.TriangleMeshLight
2,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.UniformGrid
2,org.sunflow.core.Geometry,uses,org.sunflow.core.accel.NullAccelerator
2,org.sunflow.core.InstanceList,uses,org.sunflow.SunflowAPI
2,org.sunflow.SunflowAPI,uses,org.sunflow.core.Scene
2,org.sunflow.core.accel.UniformGrid,uses,org.sunflow.core.PrimitiveList
2,org.sunflow.core.accel.KDTree,uses,org.sunflow.core.PrimitiveList
2,org.sunflow.core.accel.BoundingIntervalHierarchy,uses,org.sunflow.core.PrimitiveList
2,org.sunflow.core.AccelerationStructureFactory,uses,org.sunflow.core.accel.NullAccelerator
2,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.RA3Parser
2,org.sunflow.SunflowAPI,uses,org.sunflow.core.parser.TriParser
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.Hair
2,org.sunflow.core.gi.InstantGI,uses,org.sunflow.core.Options
2,org.sunflow.core.gi.PathTracingGIEngine,uses,org.sunflow.core.Options
2,org.sunflow.core.gi.IrradianceCacheGIEngine,uses,org.sunflow.core.Options
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.ImageBasedLight
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.CornellBox
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.light.SphereLight
2,org.sunflow.core.tesselatable.BezierMesh,uses,org.sunflow.core.primitive.QuadMesh
2,org.sunflow.core.gi.AmbientOcclusionGIEngine,uses,org.sunflow.core.Options
2,org.sunflow.core.gi.FakeGIEngine,uses,org.sunflow.core.Options
2,org.sunflow.core.photonmap.CausticPhotonMap,uses,org.sunflow.core.Options
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.ParticleSurface
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.JuliaFractal
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.Torus
2,org.sunflow.core.parser.SCParser,uses,org.sunflow.core.primitive.BanchoffSurface
